Title: 18 Sco: a solar twin rich in refractory and neutron-capture elements. 
       Implications for chemical tagging. 
Authors: Melendez J., Ramirez I., Karakas A.I., Yong D., Monroe T.R., Bedell M.,
         Bergemann M., Asplund M., Maia M.T., Bean J., do Nascimento J.-D., 
         Bazot M., Alves-Brito A., Freitas F.C., Castro M. 
Table: Adopted atomic data and equivalent widths
================================================================================
Byte-by-byte Description of file: apj497906t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units  Label    Explanations
--------------------------------------------------------------------------------
   1-  9 F9.3   0.1nm  Wave     Wavelength in Angstroms
  11- 14 F4.1   ---    Ion      Ion numeric identifier (1)
  16- 21 F6.4   eV     ExPot    Excitation potential
  23- 28 F6.3   [-]    log(gf)  Log of the oscillator strength times 
                                 the statistical weight
  31- 38 E8.2   ---    C6       Damping constant 
  40- 44 F5.1   10-13m EW-18S   The 18 Sco differential equivalent width (2)
  46- 51 F6.2   10-13m EW-Sun   Solar differential equivalent width (2)
--------------------------------------------------------------------------------
Note (1): Where the number before the digit is the atomic number and the number
          after the digit is the ionization level, e.g. 26.1 = Fe II.
Note (2): In units of milli-Angstroms.
--------------------------------------------------------------------------------
 6733.151 26.0 4.638  -1.47   3.41e-31  28.7  27.0
 6739.522 26.0 1.557  -4.79   2.10e-32  13.2  12.4
 6750.152 26.0 2.4241 -2.621  4.11e-32  75.3  75.3
 6752.707 26.0 4.638  -1.204  3.37e-31  39.0  36.8
 6793.259 26.0 4.076  -2.326  2.80e+00  14.3  13.0
 6806.845 26.0 2.727  -3.11   3.46e-32  35.8  35.4
 6810.263 26.0 4.607  -0.986  4.50e-31  53.1  50.6
 6837.006 26.0 4.593  -1.687  2.46e-32  20.0  18.9
 6839.830 26.0 2.559  -3.35   3.95e-32  32.5  31.6
 6843.656 26.0 4.548  -0.86   2.94e-31  64.1  63.3
 6858.150 26.0 4.607  -0.930  3.24e-31  53.6  52.4
 5197.577 26.1 3.2306 -2.22   8.69e-33  84.0  80.7
 5234.625 26.1 3.2215 -2.18   8.69e-33  83.5  80.7
 5264.812 26.1 3.2304 -3.13   9.43e-33  48.6  45.8
 5325.553 26.1 3.2215 -3.16   8.57e-33  42.7  41.3
 5414.073 26.1 3.2215 -3.58   9.30e-33  28.5  26.7
 5425.257 26.1 3.1996 -3.22   8.45e-33  43.0  41.3
 6084.111 26.1 3.1996 -3.79   7.87e-33  22.6  20.9
 6247.557 26.1 3.8918 -2.30   9.43e-33  54.6  52.9
 6369.462 26.1 2.8912 -4.11   7.42e-33  20.4  18.7
 6416.919 26.1 3.8918 -2.64   9.30e-33  42.6  40.5
 6432.680 26.1 2.8912 -3.57   7.42e-33  43.9  42.4
 6456.383 26.1 3.9036 -2.05   9.30e-33  64.9  62.4
 5052.167 06.0 7.685  -1.24   2.80e+00  34.0  34.5
 5380.337 06.0 7.685  -1.57   2.80e+00  20.5  20.6
 6587.61  06.0 8.537  -1.05   2.80e+00  15.6  15.2
 7111.47  06.0 8.640  -1.07   2.91e-30  14.9  14.3
 7113.179 06.0 8.647  -0.76   2.97e-30  24.9  23.6
 7771.944 08.0 9.146   0.37   8.41e-32  73.0  71.1
 7774.166 08.0 9.146   0.22   8.41e-32  65.6  63.7
 7775.388 08.0 9.146   0.00   8.41e-32  51.7  51.1
 4751.822 11.0 2.1044 -2.078  2.80e+00  11.9  11.6
 5148.838 11.0 2.1023 -2.044  2.80e+00  11.8  11.7
 6154.225 11.0 2.1023 -1.547  2.80e+00  36.9  36.9
 6160.747 11.0 2.1044 -1.246  2.80e+00  54.0  54.3
 4571.095 12.0 0.000  -5.623  2.80e+00 105.6 106.0
 4730.040 12.0 4.340  -2.389  2.80e+00  69.3  69.0
 5711.088 12.0 4.345  -1.729  2.80e+00 106.4 105.6
 6319.236 12.0 5.108  -2.165  2.80e+00  27.6  25.6
 6696.018 13.0 3.143  -1.481  2.80e+00  37.0  36.3
 6698.667 13.0 3.143  -1.782  2.80e+00  21.7  21.2
 7835.309 13.0 4.021  -0.68   2.80e+00  43.6  43.6
 7836.134 13.0 4.021  -0.45   2.80e+00  60.9  57.7
 8772.866 13.0 4.0215 -0.38   9.71e-30  75.0  73.9
 8773.896 13.0 4.0216 -0.22   9.71e-30  95.3  92.3
 5488.983 14.0 5.614  -1.69   2.80e+00  21.4  19.8
 5517.540 14.0 5.080  -2.496  2.80e+00  15.3  13.9
 5645.611 14.0 4.929  -2.04   2.80e+00  37.7  36.1
 5665.554 14.0 4.920  -1.94   2.80e+00  43.2  41.1
 5684.484 14.0 4.953  -1.55   2.80e+00  64.3  62.0
 5690.425 14.0 4.929  -1.77   2.80e+00  51.2  49.3
 5701.104 14.0 4.930  -1.95   2.80e+00  41.4  40.5
 5793.073 14.0 4.929  -1.96   2.80e+00  45.8  44.0
 6125.021 14.0 5.614  -1.50   2.80e+00  33.8  32.1
 6145.015 14.0 5.616  -1.41   2.80e+00  40.8  39.1
 6243.823 14.0 5.616  -1.27   2.80e+00  47.0  44.6
 6244.476 14.0 5.616  -1.32   2.80e+00  48.3  45.8
 6721.848 14.0 5.862  -1.12   2.80e+00  48.0  44.8
 6741.63  14.0 5.984  -1.65   2.80e+00  17.3  16.4
 6046.000 16.0 7.868  -0.15   2.80e+00  22.2  20.0
 6052.656 16.0 7.870  -0.4    2.80e+00  12.8  12.3
 6743.54  16.0 7.866  -0.6    2.80e+00   9.0   8.5
 6757.153 16.0 7.870  -0.15   2.80e+00  20.1  19.5
 8693.93  16.0 7.870  -0.44   1.51e-30  13.2  12.7
 8694.62  16.0 7.870   0.1    1.51e-30  30.3  28.6
 7698.974 19.0 0.000  -0.168  1.04e-31 157.3 157.0
 5260.387 20.0 2.521  -1.719  7.27e-32  35.9  34.0
 5512.980 20.0 2.933  -0.464  2.80e+00  88.1  85.7
 5581.965 20.0 2.5229 -0.555  6.40e-32  96.5  94.8
 5590.114 20.0 2.521  -0.571  6.36e-32  94.7  92.4
 5867.562 20.0 2.933  -1.57   2.80e+00  25.1  24.0
 6166.439 20.0 2.521  -1.142  5.95e-31  71.9  70.2
 6169.042 20.0 2.523  -0.797  5.95e-31  95.4  92.7
 6455.598 20.0 2.523  -1.34   5.09e-32  58.0  56.8
 6471.662 20.0 2.525  -0.686  5.09e-32  94.4  93.3
 6499.650 20.0 2.523  -0.818  5.05e-32  88.6  86.5
 4743.821 21.0 1.4478  0.35   5.97e-32   9.3   9.1
 5081.57  21.0 1.4478  0.30   2.80e+00   9.6   9.1
 5520.497 21.0 1.8649  0.55   2.80e+00   7.4   7.4
 5671.821 21.0 1.4478  0.55   2.80e+00  15.3  15.2
 5526.820 21.1 1.770   0.140  2.80e+00  78.5  76.6
 5657.87  21.1 1.507  -0.30   2.80e+00  70.3  68.6
 5684.19  21.1 1.507  -0.95   2.80e+00  39.4  38.6
 6245.63  21.1 1.507  -1.030  2.80e+00  36.4  35.3
 6279.76  21.1 1.500  -1.2    2.80e+00  30.6  30.3
 6320.843 21.1 1.500  -1.85   2.80e+00   9.7   9.0
 6604.578 21.1 1.3569 -1.15   2.80e+00  39.1  37.1
 4465.802 22.0 1.7393 -0.163  3.98e-32  40.6  40.4
 4555.485 22.0 0.8484 -0.488  4.42e-32  66.6  66.1
