# H- single-photon single-electron photodetachment cross section
# McLaughlin, Stancil, Sadeghour, and Forrey, JPB, (2017)
# 
# Photon energy (eV)         Cross section (Mb)
  0.75429999999999997        4.3343033993211870E-004
  0.75445085999999995        1.7872633342484775E-003
  0.75460171999999992        3.6549261401125528E-003
  0.75490343999999998        8.5238962891146328E-003
  0.75505429999999996        1.1425381952517575E-002
  0.75520515999999993        1.4597137312156573E-002
  0.75535602000000002        1.8017830091450568E-002
  0.75550687999999999        2.1670507646421758E-002
  0.75565773999999997        2.5541274781563653E-002
  0.75580859999999994        2.9618471382823176E-002
  0.75595945999999992        3.3892130190156827E-002
  0.75611032000000000        3.8353602714627170E-002
  0.75626117999999998        4.2995291632444844E-002
  0.75641203999999995        4.7810453578050499E-002
  0.75656289999999993        5.2793050167051936E-002
  0.75671376000000001        5.7937633061550232E-002
  0.75686461999999999        6.3239253681946633E-002
  0.75701547999999996        6.8693391157920919E-002
  0.75716633999999994        7.4295894037026119E-002
  0.75731720000000002        8.0042932546337431E-002
  0.75746806000000000        8.5930959070366186E-002
  0.75761891999999997        9.1956675111584452E-002
  0.75776977999999995        9.8117003427034763E-002
  0.75792063999999992       0.10440906434276816
  0.75807150000000001       0.11083015547351177
  0.75822235999999998       0.11737773424274206
  0.75837321999999996       0.12404940272477666
  0.75852407999999993       0.13084289442661581
  0.75867494000000002       0.13775606270162080
  0.75882579999999999       0.14478687054472769
  0.75897665999999997       0.15193338156440148
  0.75912751999999994       0.15919375196230939
  0.75927837999999992       0.16656622338059765
  0.75942924000000001       0.17404911649967986
  0.75958009999999998       0.18164082528819078
  0.75973095999999996       0.18933981182216891
  0.75988181999999993       0.19714460160290098
  0.76003268000000002       0.20505377931343693
  0.76018353999999999       0.21306598496224288
  0.76033439999999997       0.22117991036981505
  0.76048525999999994       0.22939429595990268
  0.76063611999999992       0.23770792782227584
  0.76078698000000000       0.24611963501816500
  0.76093783999999998       0.25462828710315416
  0.76108869999999995       0.26323279184555920
  0.76123955999999993       0.27193209312077887
  0.76139042000000001       0.28072516896463151
  0.76154127999999999       0.28961102977049880
  0.76169213999999996       0.29858871661699576
  0.76184299999999994       0.30765729971414307
  0.76199386000000002       0.31681587695755237
  0.76214472000000000       0.32606357258108498
  0.76229557999999997       0.33539953589962584
  0.76244643999999995       0.34482294013424380
  0.76259729999999992       0.35433298131301533
  0.76274816000000001       0.36392887724133044
  0.76289901999999998       0.37360986653609768
  0.76304987999999996       0.38337520771894007
  0.76320073999999993       0.39322417836369628
  0.76335160000000002       0.40315607429422046
  0.76350245999999999       0.41317020882864647
  0.76365331999999997       0.42326591206682390
  0.76380417999999994       0.43344253021766965
  0.76395503999999992       0.44369942496370507
  0.76410590000000000       0.45403597286014458
  0.76425675999999998       0.46445156476612021
  0.76440761999999995       0.47494560530597379
  0.76455847999999993       0.48551751235846097
  0.76470934000000002       0.49616671657214800
  0.76486019999999999       0.50689266090521179
  0.76501105999999996       0.51769480018820424
  0.76516191999999994       0.52857260070818279
  0.76531277999999991       0.53952553981298934
  0.76546364000000000       0.55055310553440673
  0.76561449999999998       0.56165479622900949
  0.76576535999999995       0.57283012023577085
  0.76591621999999993       0.58407859554928199
  0.76606708000000001       0.59539974950780061
  0.76621793999999999       0.60679311849518169
  0.76636879999999996       0.61825824765603310
  0.76651965999999994       0.62979469062319415
  0.76667052000000002       0.64140200925698410
  0.76682138000000000       0.65307977339547962
  0.76697223999999997       0.66482756061535941
  0.76712309999999995       0.67664495600258556
  0.76727395999999992       0.68853155193252769
  0.76742482000000001       0.70048694785899757
  0.76757567999999998       0.71251075011168985
  0.76772653999999996       0.72460257170173181
  0.76780899999999996       0.73129607928204077     
  0.76917000000000002       0.84283477772301940     
  0.77053000000000005       0.95915373870128884     
  0.77189099999999999        1.0799165919225693     
  0.77325100000000002        1.2048026296437533     
  0.77461199999999997        1.3335138272043829     
  0.77597200000000000        1.4657648580266394     
  0.77733300000000005        1.6012802990320347     
  0.77869400000000000        1.7398141766225936     
  0.78005400000000003        1.8811204876457530     
  0.78141499999999997        2.0249729847615381     
  0.78277500000000000        2.1711551317498738     
  0.78413600000000006        2.3194701914616602     
  0.78549599999999997        2.4697409703164666     
  0.78685700000000003        2.6217904016558675     
  0.78821799999999997        2.7754511422680634     
  0.78957800000000000        2.9305952153200900     
  0.79093899999999995        3.0870849168480787     
  0.79229899999999998        3.2447823530945179     
  0.79366000000000003        3.4035990461395174     
  0.79501999999999995        3.5634364657920732     
  0.79638100000000001        3.7241864310709389     
  0.79774199999999995        3.8857799897261476     
  0.79910199999999998        4.0481383256096484     
  0.80046300000000004        4.2112123431130399     
  0.80182299999999995        4.3749330009323844     
  0.80318400000000001        4.5392512034432828     
  0.80454400000000004        4.7041175890613438     
  0.80590499999999998        4.8694929132521674     
  0.80726500000000001        5.0353474976168222     
  0.80862599999999996        5.2016519513656982     
  0.80998700000000001        5.3683569606083417     
  0.81134700000000004        5.5354526005509399     
  0.81270799999999999        5.7028996364466735     
  0.81406800000000001        5.8707077579388187     
  0.81542899999999996        6.0388180338482371     
  0.81678899999999999        6.2072302905278889     
  0.81815000000000004        6.3759250066123041     
  0.81951099999999999        6.5448823902410922     
  0.82087100000000002        6.7140826387177741     
  0.82223199999999996        6.8834963877528343     
  0.82359199999999999        7.0531234352876790     
  0.82495300000000005        7.2229442759707769     
  0.82631299999999996        7.3929192863202688     
  0.82767400000000002        7.5630585248656113     
  0.82903499999999997        7.7333224676451113     
  0.83039499999999999        7.9036912851923065     
  0.83175600000000005        8.0741553404596971     
