A  	Element	Z  	N  	Energy  	JPi           	Mass Exc            	Unc       	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
14 	Be     	4  	10 	0.000   	0+            	39.95               	13        	4.35 MS 17               	0.00435                  	          	        	BA      	?           
14 	Be     	4  	10 	0.000   	0+            	39.95               	13        	4.35 MS 17               	0.00435                  	          	        	BN      	86.00       
14 	Be     	4  	10 	0.000   	0+            	39.95               	13        	4.35 MS 17               	0.00435                  	          	        	B2N     	5.00        
14 	Be     	4  	10 	0.000   	0+            	39.95               	13        	4.35 MS 17               	0.00435                  	          	        	B3N     	? 0.00      
7  	B      	5  	2  	0.0000  	(3/2-)        	27.68               	3         	1.4 MEV 2                	3.255E-22                	          	        	A       	            
7  	B      	5  	2  	0.0000  	(3/2-)        	27.68               	3         	1.4 MEV 2                	3.255E-22                	          	        	P       	            
8  	B      	5  	3  	0.0000  	2+            	22.9216             	10        	770 MS 3                 	0.77                     	          	        	EC      	100.00      
8  	B      	5  	3  	0.0000  	2+            	22.9216             	10        	770 MS 3                 	0.77                     	          	        	EA      	100.00      
9  	B      	5  	4  	0.0000  	3/2-          	12.4165             	9         	0.54 KEV 21              	8.439E-19                	          	        	P       	100.00      
9  	B      	5  	4  	0.0000  	3/2-          	12.4165             	9         	0.54 KEV 21              	8.439E-19                	          	        	2A      	100.00      
10 	B      	5  	5  	0.0000  	3+            	12.050609           	15        	STABLE                   	infinity                 	19.9%     	7       	        	            
11 	B      	5  	6  	0.0000  	3/2-          	8.667707            	12        	STABLE                   	infinity                 	80.1%     	7       	        	            
12 	B      	5  	7  	0.0000  	1+            	13.3694             	13        	20.20 MS 2               	0.0202                   	          	        	B3A     	1.58        
12 	B      	5  	7  	0.0000  	1+            	13.3694             	13        	20.20 MS 2               	0.0202                   	          	        	B-      	100.00      
13 	B      	5  	8  	0.000   	3/2-          	16.5619             	10        	17.33 MS 17              	0.0173                   	          	        	B-      	100.00      
13 	B      	5  	8  	0.000   	3/2-          	16.5619             	10        	17.33 MS 17              	0.0173                   	          	        	BN      	0.26        
14 	B      	5  	9  	0.000   	2-            	23.664              	21        	12.36 MS 29              	0.0124                   	          	        	B-      	100.00      
14 	B      	5  	9  	0.000   	2-            	23.664              	21        	12.36 MS 29              	0.0124                   	          	        	BN      	6.04        
