A  	Element	Z  	N  	Energy  	JPi           	Mass Exc            	Unc       	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
80 	Ni     	28 	52 	0.0000  	              	                    	          	24 MS +26-17             	0.024                    	          	        	B3N     	?           
52 	Cu     	29 	23 	0.0000  	(3+)          	-2.3                	6         	                         	                         	          	        	P       	            
53 	Cu     	29 	24 	0.0000  	(3/2-)        	-13.3               	5         	300 NS LT                	3.0000000000000004E-7    	          	        	EC      	            
53 	Cu     	29 	24 	0.0000  	(3/2-)        	-13.3               	5         	300 NS LT                	3.0000000000000004E-7    	          	        	P       	            
54 	Cu     	29 	25 	0.0000  	(3+)          	-21.4               	4         	75 NS LT                 	7.5E-8                   	          	        	P       	            
55 	Cu     	29 	26 	0.0000  	(3/2-)        	-31.64              	16        	27 MS 8                  	0.027                    	          	        	EC      	?           
55 	Cu     	29 	26 	0.0000  	(3/2-)        	-31.64              	16        	27 MS 8                  	0.027                    	          	        	EP      	?           
56 	Cu     	29 	27 	0.0000  	(4+)          	-38.643             	15        	93 MS 3                  	0.093                    	          	        	EC      	100.00      
56 	Cu     	29 	27 	0.0000  	(4+)          	-38.643             	15        	93 MS 3                  	0.093                    	          	        	EP      	0.40        
57 	Cu     	29 	28 	0.0000  	3/2-          	-47.3089            	5         	196.3 MS 7               	0.196                    	          	        	EC      	100.00      
58 	Cu     	29 	29 	0.0000  	1+            	-51.6677            	6         	3.204 S 7                	3.204                    	          	        	EC      	100.00      
59 	Cu     	29 	30 	0.0000  	3/2-          	-56.3583            	5         	81.5 S 5                 	81.5                     	          	        	EC      	100.00      
60 	Cu     	29 	31 	0.0000  	2+            	-58.3451            	16        	23.7 M 4                 	1422                     	          	        	EC      	100.00      
61 	Cu     	29 	32 	0.0000  	3/2-          	-61.9841            	10        	3.339 H 8                	12020.4                  	          	        	EC      	100.00      
62 	Cu     	29 	33 	0.0000  	1+            	-62.7874            	6         	9.673 M 8                	580.38                   	          	        	EC      	100.00      
63 	Cu     	29 	34 	0.0000  	3/2-          	-65.5798            	4         	STABLE                   	infinity                 	69.15%    	15      	        	            
64 	Cu     	29 	35 	0.0000  	1+            	-65.4245            	4         	12.701 H 2               	45723.6                  	          	        	EC      	61.50       
64 	Cu     	29 	35 	0.0000  	1+            	-65.4245            	4         	12.701 H 2               	45723.6                  	          	        	B-      	38.50       
65 	Cu     	29 	36 	0.0000  	3/2-          	-67.2637            	7         	STABLE                   	infinity                 	30.85%    	15      	        	            
66 	Cu     	29 	37 	0.0000  	1+            	-66.2583            	7         	5.120 M 14               	307.2                    	          	        	B-      	100.00      
67 	Cu     	29 	38 	0.0000  	3/2-          	-67.3195            	9         	61.83 H 12               	222588                   	          	        	B-      	100.00      
68 	Cu     	29 	39 	0.0000  	1+            	-65.5670            	16        	30.9 S 6                 	30.9                     	          	        	B-      	100.00      
69 	Cu     	29 	40 	0.0000  	3/2-          	-65.7362            	14        	2.85 M 15                	171                      	          	        	B-      	100.00      
70 	Cu     	29 	41 	0.0000  	(6-)          	-62.9764            	11        	44.5 S 2                 	44.5                     	          	        	B-      	100.00      
71 	Cu     	29 	42 	0.0000  	3/2(-)        	-62.7111            	15        	19.4 S 16                	19.4                     	          	        	B-      	100.00      
72 	Cu     	29 	43 	0.0000  	(2)           	-59.7830            	14        	6.63 S 3                 	6.63                     	          	        	B-      	100.00      
73 	Cu     	29 	44 	0.0000  	(3/2-)        	-58.9874            	19        	4.2 S 3                  	4.2                      	          	        	B-      	100.00      
74 	Cu     	29 	45 	0.0000  	(1+,3+)       	-56.006             	6         	1.594 S 10               	1.594                    	          	        	B-      	100.00      
75 	Cu     	29 	46 	0.0000  	5/2(-)        	-54.4713            	23        	1.224 S 3                	1.224                    	          	        	B-      	100.00      
75 	Cu     	29 	46 	0.0000  	(5/2-)        	-54.4713            	23        	1.222 S 8                	1.222                    	          	        	BN      	3.50        
76 	Cu     	29 	47 	0.0000  	(3,4)         	-50.976             	7         	0.638 S 9                	0.638                    	          	        	B-      	100.00      
76 	Cu     	29 	47 	0.0000  	(3,4)         	-50.976             	7         	0.638 S 9                	0.638                    	          	        	BN      	7.20        
76 	Cu     	29 	47 	0.0000  	              	-50.976             	7         	1.27 S 30                	1.27                     	          	        	B-      	100.00      
77 	Cu     	29 	48 	0.0000  	(5/2-)        	-48.62              	15        	468.1 MS 20              	0.468                    	          	        	B-      	100.00      
77 	Cu     	29 	48 	0.0000  	(5/2-)        	-48.62              	15        	468.1 MS 20              	0.468                    	          	        	BN      	30.30       
78 	Cu     	29 	49 	0.0000  	(4-,5-,6-)    	-44.5               	5         	335 MS 11                	0.335                    	          	        	B-      	100.00      
78 	Cu     	29 	49 	0.0000  	(4-,5-,6-)    	-44.5               	5         	335 MS 11                	0.335                    	          	        	BN      	&gt; 65.00     
79 	Cu     	29 	50 	0.0000  	              	-41.7               	3         	241.0 MS 32              	0.241                    	          	        	B-      	100.00      
79 	Cu     	29 	50 	0.0000  	              	-41.7               	3         	241.0 MS 32              	0.241                    	          	        	BN      	55.00       
80 	Cu     	29 	51 	0.0000  	              	-36.2               	4         	0.17 S +11-5             	0.17                     	          	        	B-      	100.00      
81 	Cu     	29 	52 	0.0000  	              	                    	          	632 NS GT                	6.32E-7                  	          	        	BN      	            
81 	Cu     	29 	52 	0.0000  	              	                    	          	632 NS GT                	6.32E-7                  	          	        	B-      	100.00      
81 	Cu     	29 	52 	0.0000  	              	                    	          	632 NS GT                	6.32E-7                  	          	        	B2N     	            
82 	Cu     	29 	53 	0.0000  	              	-25.3               	6         	636 NS GT                	6.36E-7                  	          	        	B-      	100.00      
82 	Cu     	29 	53 	0.0000  	              	-25.3               	6         	636 NS GT                	6.36E-7                  	          	        	BN      	            
82 	Cu     	29 	53 	0.0000  	              	-25.3               	6         	636 NS GT                	6.36E-7                  	          	        	B2N     	            
54 	Zn     	30 	24 	0.0000  	0+            	-6.3                	4         	1.59 MS +60-35           	0.00159                  	          	        	2P      	92.00       
55 	Zn     	30 	25 	0.0000  	(5/2-)        	-14.6               	4         	19.8 MS 13               	0.0198                   	          	        	EC      	100.00      
55 	Zn     	30 	25 	0.0000  	(5/2-)        	-14.6               	4         	19.8 MS 13               	0.0198                   	          	        	EP      	91.00       
56 	Zn     	30 	26 	0.0000  	0+            	-25.4               	4         	30.0 MS 17               	0.03                     	          	        	EC      	100.00      
56 	Zn     	30 	26 	0.0000  	0+            	-25.4               	4         	30.0 MS 17               	0.03                     	          	        	EP      	86.00       
57 	Zn     	30 	27 	0.0000  	(7/2-)        	-32.55              	20        	38 MS 4                  	0.038                    	          	        	EC      	100.00      
57 	Zn     	30 	27 	0.0000  	(7/2-)        	-32.55              	20        	38 MS 4                  	0.038                    	          	        	EP      	&gt;= 65.00    
58 	Zn     	30 	28 	0.0000  	0+            	-42.30              	5         	86 MS 8                  	0.086                    	          	        	EC      	100.00      
58 	Zn     	30 	28 	0.0000  	0+            	-42.30              	5         	86 MS 8                  	0.086                    	          	        	EP      	&lt; 3.00      
59 	Zn     	30 	29 	0.0000  	3/2-          	-47.2156            	8         	182.0 MS 18              	0.182                    	          	        	EC      	100.00      
59 	Zn     	30 	29 	0.0000  	3/2-          	-47.2156            	8         	182.0 MS 18              	0.182                    	          	        	EP      	0.10        
60 	Zn     	30 	30 	0.0000  	0+            	-54.1743            	6         	2.38 M 5                 	142.8                    	          	        	EC      	100.00      
61 	Zn     	30 	31 	0.0000  	3/2-          	-56.349             	16        	89.1 S 2                 	89.1                     	          	        	EC      	100.00      
62 	Zn     	30 	32 	0.0000  	0+            	-61.1680            	6         	9.186 H 13               	33069.6                  	          	        	EC      	100.00      
63 	Zn     	30 	33 	0.0000  	3/2-          	-62.2134            	16        	38.47 M 5                	2308.2                   	          	        	EC      	100.00      
64 	Zn     	30 	34 	0.0000  	0+            	-66.0040            	6         	7.0E20 Y GE              	2.209E28                 	49.17%    	75      	2EC     	            
65 	Zn     	30 	35 	0.0000  	5/2-          	-65.9120            	7         	243.93 D 9               	2.108E7                  	          	        	EC      	100.00      
66 	Zn     	30 	36 	0.0000  	0+            	-68.8992            	7         	STABLE                   	infinity                 	27.73%    	98      	        	            
67 	Zn     	30 	37 	0.0000  	5/2-          	-67.8803            	8         	STABLE                   	infinity                 	4.04%     	16      	        	            
68 	Zn     	30 	38 	0.0000  	0+            	-70.0071            	8         	STABLE                   	infinity                 	18.45%    	63      	        	            
69 	Zn     	30 	39 	0.0000  	1/2-          	-68.4178            	8         	56.4 M 9                 	3384                     	          	        	B-      	100.00      
70 	Zn     	30 	40 	0.0000  	0+            	-69.5647            	19        	2.3E+17 Y GE             	7.258E24                 	0.61%     	10      	2B-     	            
71 	Zn     	30 	41 	0.0000  	1/2-          	-67.329             	3         	2.45 M 10                	147                      	          	        	B-      	100.00      
72 	Zn     	30 	42 	0.0000  	0+            	-68.1455            	21        	46.5 H 1                 	167400                   	          	        	B-      	100.00      
73 	Zn     	30 	43 	0.0000  	(1/2)-        	-65.5934            	19        	23.5 S 10                	23.5                     	          	        	B-      	100.00      
73 	Zn     	30 	43 	0.0000  	              	-65.5934            	19        	5.8 S 8                  	5.8                      	          	        	B-      	            
73 	Zn     	30 	43 	0.0000  	              	-65.5934            	19        	5.8 S 8                  	5.8                      	          	        	IT      	            
74 	Zn     	30 	44 	0.0000  	0+            	-65.757             	3         	95.6 S 12                	95.6                     	          	        	B-      	100.00      
75 	Zn     	30 	45 	0.0000  	(7/2+)        	-62.5589            	20        	10.2 S 2                 	10.2                     	          	        	B-      	100.00      
76 	Zn     	30 	46 	0.0000  	0+            	-62.3030            	15        	5.7 S 3                  	5.7                      	          	        	B-      	100.00      
77 	Zn     	30 	47 	0.0000  	(7/2+)        	-58.7892            	20        	2.08 S 5                 	2.08                     	          	        	B-      	100.00      
78 	Zn     	30 	48 	0.0000  	0+            	-57.4832            	19        	1.47 S 15                	1.47                     	          	        	B-      	100.00      
79 	Zn     	30 	49 	0.0000  	(9/2+)        	-53.4323            	22        	0.746 S 42               	0.746                    	          	        	B-      	100.00      
79 	Zn     	30 	49 	0.0000  	(9/2+)        	-53.4323            	22        	0.746 S 42               	0.746                    	          	        	BN      	1.70        
80 	Zn     	30 	50 	0.0000  	0+            	-51.649             	3         	561.9 MS 30              	0.562                    	          	        	B-      	100.00      
80 	Zn     	30 	50 	0.0000  	0+            	-51.649             	3         	561.9 MS 30              	0.562                    	          	        	BN      	1.00        
81 	Zn     	30 	51 	0.0000  	(5/2+)        	-46.200             	5         	303.5 MS 29              	0.304                    	          	        	BN      	7.50        
81 	Zn     	30 	51 	0.0000  	(5/2+)        	-46.200             	5         	303.5 MS 29              	0.304                    	          	        	B-      	100.00      
82 	Zn     	30 	52 	0.0000  	0+            	-42.314             	3         	228 MS 10                	0.228                    	          	        	B-      	100.00      
83 	Zn     	30 	53 	0.0000  	              	-36.3               	3         	117 MS 20                	0.117                    	          	        	B-      	100.00      
83 	Zn     	30 	53 	0.0000  	              	-36.3               	3         	117 MS 20                	0.117                    	          	        	BN      	?           
84 	Zn     	30 	54 	0.0000  	0+            	                    	          	633 NS GT                	6.33E-7                  	          	        	B-      	100.00      
84 	Zn     	30 	54 	0.0000  	0+            	                    	          	633 NS GT                	6.33E-7                  	          	        	B2N     	            
84 	Zn     	30 	54 	0.0000  	0+            	                    	          	633 NS GT                	6.33E-7                  	          	        	BN      	            
56 	Ga     	31 	25 	0.0000  	              	-3.4                	5         	                         	                         	          	        	P?      	            
57 	Ga     	31 	26 	0.0000  	              	-15.0               	4         	                         	                         	          	        	P?      	            
58 	Ga     	31 	27 	0.0000  	              	-23.5               	3         	                         	                         	          	        	P?      	            
59 	Ga     	31 	28 	0.0000  	              	-33.76              	17        	                         	                         	          	        	P?      	            
60 	Ga     	31 	29 	0.0000  	(2+)          	-39.59              	20        	70 MS 13                 	0.07                     	          	        	EC      	100.00      
60 	Ga     	31 	29 	0.0000  	(2+)          	-39.59              	20        	70 MS 13                 	0.07                     	          	        	EP      	1.60        
60 	Ga     	31 	29 	0.0000  	(2+)          	-39.59              	20        	70 MS 13                 	0.07                     	          	        	EA      	&lt; 0.02      
61 	Ga     	31 	30 	0.0000  	3/2-          	-47.13              	4         	167 MS 3                 	0.167                    	          	        	EC      	100.00      
61 	Ga     	31 	30 	0.0000  	3/2-          	-47.13              	4         	167 MS 3                 	0.167                    	          	        	EP      	&lt; 0.25      
62 	Ga     	31 	31 	0.0000  	0+            	-51.9869            	6         	116.121 MS 21            	0.116                    	          	        	EC      	100.00      
62 	Ga     	31 	31 	0.0000  	0+            	-51.9869            	6         	116.121 MS 21            	0.116                    	          	        	EP      	            
63 	Ga     	31 	32 	0.0000  	3/2-          	-56.5471            	13        	32.4 S 5                 	32.4                     	          	        	EC      	100.00      
64 	Ga     	31 	33 	0.0000  	0+            	-58.8328            	14        	2.627 M 12               	157.62                   	          	        	EC      	100.00      
65 	Ga     	31 	34 	0.0000  	3/2-          	-62.6575            	8         	15.2 M 2                 	912                      	          	        	EC      	100.00      
66 	Ga     	31 	35 	0.0000  	0+            	-63.7237            	11        	9.49 H 3                 	34164                    	          	        	EC      	100.00      
67 	Ga     	31 	36 	0.0000  	3/2-          	-66.8790            	12        	3.2617 D 5               	281810.88                	          	        	EC      	100.00      
68 	Ga     	31 	37 	0.0000  	1+            	-67.0860            	14        	67.71 M 9                	4062.6                   	          	        	EC      	100.00      
69 	Ga     	31 	38 	0.0000  	3/2-          	-69.3278            	12        	STABLE                   	infinity                 	60.108%   	9       	        	            
70 	Ga     	31 	39 	0.0000  	1+            	-68.9101            	12        	21.14 M 3                	1268.4                   	          	        	B-      	99.59       
70 	Ga     	31 	39 	0.0000  	1+            	-68.9101            	12        	21.14 M 3                	1268.4                   	          	        	EC      	0.41        
71 	Ga     	31 	40 	0.0000  	3/2-          	-70.1391            	8         	STABLE                   	infinity                 	39.892%   	9       	        	            
72 	Ga     	31 	41 	0.0000  	3-            	-68.5883            	8         	14.10 H 2                	50760                    	          	        	B-      	100.00      
73 	Ga     	31 	42 	0.0000  	3/2-          	-69.6993            	17        	4.86 H 3                 	17496                    	          	        	B-      	100.00      
74 	Ga     	31 	43 	0.0000  	(3-)          	-68.050             	3         	8.12 M 12                	487.2                    	          	        	B-      	100.00      
75 	Ga     	31 	44 	0.0000  	3/2-          	-68.4646            	24        	126 S 2                  	126                      	          	        	B-      	100.00      
76 	Ga     	31 	45 	0.0000  	2+            	-66.2966            	20        	32.6 S 6                 	32.6                     	          	        	B-      	100.00      
77 	Ga     	31 	46 	0.0000  	3/2-          	-65.9923            	24        	13.2 S 2                 	13.2                     	          	        	B-      	100.00      
78 	Ga     	31 	47 	0.0000  	2+            	-63.7059            	19        	5.09 S 5                 	5.09                     	          	        	B-      	100.00      
79 	Ga     	31 	48 	0.0000  	3/2(-)        	-62.5477            	19        	2.847 S 3                	2.847                    	          	        	BN      	0.09        
79 	Ga     	31 	48 	0.0000  	3/2(-)        	-62.5477            	19        	2.847 S 3                	2.847                    	          	        	B-      	100.00      
80 	Ga     	31 	49 	0.0000  	3             	-59.224             	3         	1.9 S 1                  	1.9                      	          	        	B-      	100.00      
80 	Ga     	31 	49 	0.0000  	3             	-59.224             	3         	1.9 S 1                  	1.9                      	          	        	BN      	0.86        
81 	Ga     	31 	50 	0.0000  	5/2-          	-57.628             	3         	1.217 S 5                	1.217                    	          	        	B-      	100.00      
81 	Ga     	31 	50 	0.0000  	5/2-          	-57.628             	3         	1.217 S 5                	1.217                    	          	        	BN      	11.90       
82 	Ga     	31 	51 	0.0000  	(1,2,3)       	-52.9307            	24        	0.599 S 2                	0.599                    	          	        	B-      	100.00      
82 	Ga     	31 	51 	0.0000  	(1,2,3)       	-52.9307            	24        	0.599 S 2                	0.599                    	          	        	BN      	19.80       
83 	Ga     	31 	52 	0.0000  	              	-49.257             	3         	308.1 MS 10              	0.308                    	          	        	B-      	100.00      
83 	Ga     	31 	52 	0.0000  	              	-49.257             	3         	308.1 MS 10              	0.308                    	          	        	BN      	62.80       
84 	Ga     	31 	53 	0.0000  	(0-)          	-44.09              	20        	85 MS 10                 	0.085                    	          	        	BN      	74.00       
84 	Ga     	31 	53 	0.0000  	(0-)          	-44.09              	20        	85 MS 10                 	0.085                    	          	        	B-      	100.00      
84 	Ga     	31 	53 	0.0000  	(3-,4-)       	-44.09              	20        	0.085 S LT               	0.085                    	          	        	B-      	100.00      
84 	Ga     	31 	53 	0.0000  	(3-,4-)       	-44.09              	20        	0.085 S LT               	0.085                    	          	        	BN      	?           
85 	Ga     	31 	54 	0.0000  	(5/2-)        	-39.8               	3         	92 MS 4                  	0.092                    	          	        	BN      	&gt; 35.00     
85 	Ga     	31 	54 	0.0000  	(5/2-)        	-39.8               	3         	92 MS 4                  	0.092                    	          	        	B-      	100.00      
86 	Ga     	31 	55 	0.0000  	              	-34.1               	4         	43 MS +21-15             	0.043                    	          	        	B-      	100.00      
86 	Ga     	31 	55 	0.0000  	              	-34.1               	4         	43 MS +21-15             	0.043                    	          	        	BN      	60.00       
86 	Ga     	31 	55 	0.0000  	              	-34.1               	4         	43 MS +21-15             	0.043                    	          	        	B2N     	20.00       
87 	Ga     	31 	56 	0.0000  	              	                    	          	634 NS GT                	6.34E-7                  	          	        	BN      	            
87 	Ga     	31 	56 	0.0000  	              	                    	          	634 NS GT                	6.34E-7                  	          	        	B2N     	            
87 	Ga     	31 	56 	0.0000  	              	                    	          	634 NS GT                	6.34E-7                  	          	        	B-      	100.00      
58 	Ge     	32 	26 	0.0000  	0+            	-7.1                	5         	                         	                         	          	        	2P?     	            
59 	Ge     	32 	27 	0.0000  	              	-15.9               	4         	360 NS GT                	3.6E-7                   	          	        	EC?     	            
59 	Ge     	32 	27 	0.0000  	              	-15.9               	4         	360 NS GT                	3.6E-7                   	          	        	2P?     	            
60 	Ge     	32 	28 	0.0000  	0+            	-27.1               	3         	110 NS GT                	1.1E-7                   	          	        	EP      	            
60 	Ge     	32 	28 	0.0000  	0+            	-27.1               	3         	110 NS GT                	1.1E-7                   	          	        	EC      	            
61 	Ge     	32 	29 	0.0000  	(3/2-)        	-33.4               	3         	44 MS 6                  	0.044                    	          	        	EC      	100.00      
61 	Ge     	32 	29 	0.0000  	(3/2-)        	-33.4               	3         	44 MS 6                  	0.044                    	          	        	EP      	&gt; 62.00     
62 	Ge     	32 	30 	0.0000  	0+            	-41.74              	14        	129 MS 35                	0.129                    	          	        	EC      	100.00      
62 	Ge     	32 	30 	0.0000  	0+            	-41.74              	14        	129 MS 35                	0.129                    	          	        	EP      	            
63 	Ge     	32 	31 	0.0000  	3/2-          	-46.92              	4         	150 MS 9                 	0.15                     	          	        	EC      	100.00      
64 	Ge     	32 	32 	0.0000  	0+            	-54.315             	4         	63.7 S 25                	63.7                     	          	        	EC      	100.00      
65 	Ge     	32 	33 	0.0000  	3/2-          	-56.4782            	22        	30.9 S 5                 	30.9                     	          	        	EC      	100.00      
65 	Ge     	32 	33 	0.0000  	3/2-          	-56.4782            	22        	30.9 S 5                 	30.9                     	          	        	EP      	0.01        
66 	Ge     	32 	34 	0.0000  	0+            	-61.6070            	24        	2.26 H 5                 	8135.1                   	          	        	EC      	100.00      
67 	Ge     	32 	35 	0.0000  	1/2-          	-62.658             	5         	18.9 M 3                 	1134                     	          	        	EC      	100.00      
68 	Ge     	32 	36 	0.0000  	0+            	-66.9788            	19        	270.93 D 13              	2.341E7                  	          	        	EC      	100.00      
69 	Ge     	32 	37 	0.0000  	5/2-          	-67.1007            	13        	39.05 H 10               	140580                   	          	        	EC      	100.00      
70 	Ge     	32 	38 	0.0000  	0+            	-70.5619            	8         	STABLE                   	infinity                 	20.57%    	27      	        	            
71 	Ge     	32 	39 	0.0000  	1/2-          	-69.9065            	8         	11.43 D 3                	987552                   	          	        	EC      	100.00      
72 	Ge     	32 	40 	0.0000  	0+            	-72.58590           	8         	STABLE                   	infinity                 	27.45%    	32      	        	            
73 	Ge     	32 	41 	0.0000  	9/2+          	-71.29752           	6         	STABLE                   	infinity                 	7.75%     	12      	        	            
74 	Ge     	32 	42 	0.0000  	0+            	-73.422442          	13        	STABLE                   	infinity                 	36.50%    	20      	        	            
75 	Ge     	32 	43 	0.0000  	1/2-          	-71.85696           	5         	82.78 M 4                	4966.8                   	          	        	B-      	100.00      
76 	Ge     	32 	44 	0.0000  	0+            	-73.212889          	18        	STABLE                   	infinity                 	7.73%     	12      	        	            
77 	Ge     	32 	45 	0.0000  	7/2+          	-71.21286           	5         	11.30 H 1                	40680                    	          	        	B-      	100.00      
78 	Ge     	32 	46 	0.0000  	0+            	-71.862             	4         	88.0 M 10                	5280                     	          	        	B-      	100.00      
79 	Ge     	32 	47 	0.0000  	(1/2)-        	-69.53              	4         	18.98 S 3                	18.98                    	          	        	B-      	100.00      
80 	Ge     	32 	48 	0.0000  	0+            	-69.5353            	21        	29.5 S 4                 	29.5                     	          	        	B-      	100.00      
81 	Ge     	32 	49 	0.0000  	(9/2+)        	-66.2917            	21        	7.6 S 6                  	7.6                      	          	        	B-      	100.00      
82 	Ge     	32 	50 	0.0000  	0+            	-65.4151            	22        	4.56 S 26                	4.56                     	          	        	B-      	100.00      
83 	Ge     	32 	51 	0.0000  	(5/2)+        	-60.9764            	24        	1.85 S 6                 	1.85                     	          	        	B-      	100.00      
84 	Ge     	32 	52 	0.0000  	0+            	-58.148             	3         	0.954 S 14               	0.954                    	          	        	B-      	100.00      
84 	Ge     	32 	52 	0.0000  	0+            	-58.148             	3         	0.954 S 14               	0.954                    	          	        	BN      	10.20       
85 	Ge     	32 	53 	0.0000  	(3/2+,5/2+)   	-53.123             	4         	503 MS 18                	0.503                    	          	        	BN      	14.00       
85 	Ge     	32 	53 	0.0000  	(3/2+,5/2+)   	-53.123             	4         	503 MS 18                	0.503                    	          	        	B2N     	?           
85 	Ge     	32 	53 	0.0000  	(3/2+,5/2+)   	-53.123             	4         	503 MS 18                	0.503                    	          	        	B-      	100.00      
86 	Ge     	32 	54 	0.0000  	0+            	-49.4               	4         	226 MS 21                	0.226                    	          	        	B-      	100.00      
86 	Ge     	32 	54 	0.0000  	0+            	-49.4               	4         	226 MS 21                	0.226                    	          	        	BN      	45.00       
87 	Ge     	32 	55 	0.0000  	(5/2+)        	-44.1               	3         	0.14 S AP                	0.14                     	          	        	BN      	            
87 	Ge     	32 	55 	0.0000  	(5/2+)        	-44.1               	3         	0.14 S AP                	0.14                     	          	        	B-      	100.00      
88 	Ge     	32 	56 	0.0000  	0+            	-40.1               	4         	300 NS GE                	3.0000000000000004E-7    	          	        	B-      	100.00      
89 	Ge     	32 	57 	0.0000  	              	-33.7               	4         	300 NS GE                	3.0000000000000004E-7    	          	        	B-      	100.00      
90 	Ge     	32 	58 	0.0000  	0+            	                    	          	635 NS GT                	6.35E-7                  	          	        	BN      	            
90 	Ge     	32 	58 	0.0000  	0+            	                    	          	635 NS GT                	6.35E-7                  	          	        	B2N     	            
90 	Ge     	32 	58 	0.0000  	0+            	                    	          	635 NS GT                	6.35E-7                  	          	        	B-      	100.00      
60 	As     	33 	27 	0.0000  	              	-5.5                	4         	                         	                         	          	        	P       	?           
61 	As     	33 	28 	0.0000  	              	-16.9               	3         	                         	                         	          	        	P       	?           
62 	As     	33 	29 	0.0000  	              	-24.3               	3         	                         	                         	          	        	P       	?           
63 	As     	33 	30 	0.0000  	3/2-          	-33.50              	20        	43 NS LT                 	4.3E-8                   	          	        	P       	            
64 	As     	33 	31 	0.0000  	              	-39.53              	20        	18 MS +43-7              	0.018                    	          	        	EC      	100.00      
65 	As     	33 	32 	0.0000  	              	-46.94              	8         	128 MS 16                	0.128                    	          	        	EC      	100.00      
66 	As     	33 	33 	0.0000  	(0+)          	-52.025             	6         	95.77 MS 23              	0.0958                   	          	        	EC      	100.00      
67 	As     	33 	34 	0.0000  	(5/2-)        	-56.5872            	4         	42.5 S 12                	42.5                     	          	        	EC      	100.00      
68 	As     	33 	35 	0.0000  	3+            	-58.8945            	18        	151.6 S 8                	151.6                    	          	        	EC      	100.00      
69 	As     	33 	36 	0.0000  	5/2-          	-63.11              	3         	15.2 M 2                 	912                      	          	        	EC      	100.00      
70 	As     	33 	37 	0.0000  	4+            	-64.34              	5         	52.6 M 3                 	3156                     	          	        	EC      	100.00      
71 	As     	33 	38 	0.0000  	5/2-          	-67.893             	4         	65.30 H 7                	235080                   	          	        	EC      	100.00      
72 	As     	33 	39 	0.0000  	2-            	-68.230             	4         	26.0 H 1                 	93600                    	          	        	EC      	100.00      
73 	As     	33 	40 	0.0000  	3/2-          	-70.953             	4         	80.30 D 6                	6937920                  	          	        	EC      	100.00      
74 	As     	33 	41 	0.0000  	2-            	-70.8601            	17        	17.77 D 2                	1535328                  	          	        	EC      	66.00       
74 	As     	33 	41 	0.0000  	2-            	-70.8601            	17        	17.77 D 2                	1535328                  	          	        	B-      	34.00       
75 	As     	33 	42 	0.0000  	3/2-          	-73.0342            	9         	STABLE                   	infinity                 	100%      	        	        	            
76 	As     	33 	43 	0.0000  	2-            	-72.2914            	9         	1.0942 D 7               	94538.88                 	          	        	B-      	100.00      
77 	As     	33 	44 	0.0000  	3/2-          	-73.9163            	17        	38.83 H 5                	139788                   	          	        	B-      	100.00      
78 	As     	33 	45 	0.0000  	2-            	-72.817             	10        	90.7 M 2                 	5442                     	          	        	B-      	100.00      
79 	As     	33 	46 	0.0000  	3/2-          	-73.636             	5         	9.01 M 15                	540.6                    	          	        	B-      	100.00      
80 	As     	33 	47 	0.0000  	1+            	-72.214             	3         	15.2 S 2                 	15.2                     	          	        	B-      	100.00      
81 	As     	33 	48 	0.0000  	3/2-          	-72.533             	3         	33.3 S 8                 	33.3                     	          	        	B-      	100.00      
82 	As     	33 	49 	0.0000  	(2-)          	-70.105             	4         	19.1 S 5                 	19.1                     	          	        	B-      	100.00      
83 	As     	33 	50 	0.0000  	(5/2-)        	-69.669             	3         	13.4 S 4                 	13.4                     	          	        	B-      	100.00      
84 	As     	33 	51 	0.0000  	(3-)          	-65.854             	3         	4.02 S 3                 	4.02                     	          	        	BN      	0.18        
84 	As     	33 	51 	0.0000  	(3-)          	-65.854             	3         	4.02 S 3                 	4.02                     	          	        	B-      	100.00      
85 	As     	33 	52 	0.0000  	(3/2-)        	-63.189             	3         	2.021 S 12               	2.021                    	          	        	B-      	100.00      
85 	As     	33 	52 	0.0000  	(3/2-)        	-63.189             	3         	2.021 S 12               	2.021                    	          	        	BN      	62.90       
86 	As     	33 	53 	0.0000  	              	-58.962             	3         	0.945 S 8                	0.945                    	          	        	BN      	35.50       
86 	As     	33 	53 	0.0000  	              	-58.962             	3         	0.945 S 8                	0.945                    	          	        	B2N     	?           
86 	As     	33 	53 	0.0000  	              	-58.962             	3         	0.945 S 8                	0.945                    	          	        	B-      	100.00      
87 	As     	33 	54 	0.0000  	(3/2-)        	-55.618             	3         	484 MS 40                	0.484                    	          	        	B-      	100.00      
87 	As     	33 	54 	0.0000  	(3/2-)        	-55.618             	3         	484 MS 40                	0.484                    	          	        	BN      	15.40       
88 	As     	33 	55 	0.0000  	              	-50.72              	20        	0.20 S                   	0.2                      	          	        	B-      	100.00      
89 	As     	33 	56 	0.0000  	              	-46.8               	3         	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
89 	As     	33 	56 	0.0000  	              	-46.8               	3         	300 NS GT                	3.0000000000000004E-7    	          	        	BN      	?           
90 	As     	33 	57 	0.0000  	              	-41.3               	4         	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
90 	As     	33 	57 	0.0000  	              	-41.3               	4         	300 NS GT                	3.0000000000000004E-7    	          	        	BN      	            
91 	As     	33 	58 	0.0000  	              	-36.9               	4         	150 NS GT                	1.5E-7                   	          	        	B-      	100.00      
