waveobs	flux	err
422.1048864832326	1.0484433661837882	0.013154120116119241
422.1088924771557	0.9821573790922127	0.01273256428067392
422.1128974004111	1.0034670094713372	0.012954543665420572
422.116901252978	1.0356628747996006	0.013138081108168878
422.1209040348354	1.0252285730757047	0.013088999350404097
422.12490574596325	0.9809351130352987	0.012792687357568725
422.128906386341	0.9586548821322908	0.012621798952166467
422.1329059559483	0.9465693545517093	0.012550619178152405
422.1369044547653	0.9732271895220691	0.012714643462382097
422.14090188277163	0.8101622194942374	0.01158311841340442
422.14489823994785	0.7828463073237979	0.011401041902290309
422.14889352627404	0.7157406604902967	0.0109183235936258
422.15288774173035	0.8507299610762208	0.011912846206662766
422.1568808862975	0.9278016862097106	0.012428963922579596
422.160872959956	1.0055530994139423	0.012905774083467783
422.1648639626868	0.9282430468607176	0.012389511055300357
422.1688538944707	0.9972834203878448	0.012775968005935482
422.17284275528885	1.000478650741645	0.012825775448871703
422.1768305451219	0.9765976323399833	0.012617261315020093
422.1808172639516	1.0771455047191587	0.01329296025349979
422.1848029117592	0.9970816017298426	0.012772891336459648
422.18878748852603	0.9440627336541052	0.012470235234739396
422.1927709942339	0.9449921022444882	0.012462624723782945
422.1967534288647	0.9741418353936849	0.01263472062147808
422.20073479240006	1.0035516689253046	0.012837936263096495
422.2047150848222	1.028558757758747	0.012990670947230096
422.2086943061131	0.9242011732684924	0.012296277093274823
422.2126724562551	0.756419165205897	0.011118625801454042
422.21664953523066	0.4857912403273965	0.00891078142289895
422.2206255430222	0.32403286275754295	0.007230561541382023
422.2246004796123	0.41050076091784066	0.008191739248485628
422.22857434498394	0.7024966769952667	0.010757797768420105
422.23254713911984	0.9187590648078126	0.012301253210112356
422.23651886200315	0.9642983311019261	0.012601559186350033
422.2404895136169	0.9379249134575475	0.01243867922559185
422.2444590939445	0.9810793347746808	0.01272792973314592
422.24842760296906	0.9765918279324928	0.01268232106934955
422.25239504067457	0.915564130306442	0.012292108904283339
422.2563614070443	0.9269073676531517	0.012385341110231471
422.26032670206223	0.8820026087657381	0.01208010685338258
422.26429092571215	0.9207023907573428	0.012329287696650952
422.26825407797804	0.9601662405430372	0.012606422701923614
422.272216158844	0.9372302386525884	0.012446618895739859
422.2761771682949	0.9664936539507393	0.012635252915968462
422.28013710631427	0.9271421907626206	0.012400613366720653
422.28409597288737	0.9516634504752675	0.012562537117146898
422.2880537679984	0.940400863597754	0.012479836241069311
422.2920104916324	0.8980601529687214	0.012205780648332259
422.2959661437743	0.8930741562990745	0.012152930427754999
422.2999207244089	0.8403185598561301	0.011796248792271589
422.3038742335214	0.741090693464735	0.011104775692690786
422.3078266710973	0.6703996629304835	0.010563844771033813
422.3117780371217	0.7081755656366598	0.010842338357659563
422.3157283315805	0.8126048279396387	0.01160257292962332
422.31967755445925	0.9251749177860723	0.012387745170968323
422.32362570574355	0.8776606752044492	0.01214363933107635
422.32757278541953	0.882255293443027	0.012152460436056708
422.33151879347304	1.018512083530608	0.01303876386445465
422.33546372989053	0.9419002208553404	0.012556348432532232
422.33940759465816	0.8559068945526808	0.011957710880309991
422.3433503877621	0.692720421787499	0.010767780386198092
422.34729210918925	0.5862042158508727	0.009897463368335243
422.3512327589262	0.5153245572884336	0.009288744455802581
422.3551723369595	0.5189157462022538	0.009305835410455831
422.3591108432764	0.6508266553933029	0.01043742226861557
422.36304827786387	0.7776625227902789	0.011416249105075518
422.366984640709	0.8760172527701358	0.012123636760119147
422.37091993179916	0.8704780508876238	0.012098436730770979
422.37485415112167	0.861244955744031	0.012046257702246137
422.37878729866435	0.9296892323884643	0.012513352201807418
422.38271937441453	0.9592029056519576	0.012721676427169861
422.3866503783603	0.9674241992569853	0.012750666870080933
422.3905803104893	0.9703714571209657	0.012770209119487449
422.3945091707899	0.9462998932557062	0.012625589422490136
422.39843695925015	0.9483710701012189	0.0126493635949133
422.40236367585817	0.9205821279837845	0.012478358542308436
422.40628932060264	0.8361345025909795	0.01187184259610898
422.41021389347213	0.6930393100758379	0.010796922851036022
422.41413739445534	0.4774595016365084	0.008992911165380497
422.4180598235408	0.3892525989610648	0.008107505640232085
422.4219811807177	0.6041110603579118	0.010117271477533638
422.425901465975	0.7651062404580687	0.011392794750564423
422.42982067930194	0.8872939891875908	0.012252573092895
422.43373882068795	0.9298916620824766	0.012566444191583955
422.43765589012224	0.9629425594443684	0.012818788123041927
422.44157188759453	0.8381642637431816	0.01195799248132213
422.4454868130946	0.750837560047683	0.011321893410224134
422.449400666612	0.5954850325220664	0.01009390132783539
422.45331344813684	0.5940836463707589	0.010063499927962216
422.457225157659	0.7515635433501909	0.011339077739935099
422.4611357951691	0.8877557935129715	0.012366787225503465
422.4650453606572	0.936289558609031	0.012662575096872646
422.4689538541135	0.9482258866310692	0.012782194291911183
422.47286127552906	0.8756711954583005	0.012286371765595841
422.4767676248942	0.8082208786748388	0.011794154495750303
422.48067290220007	0.5523709264412066	0.009743492558312106
422.4845771074373	0.47208747110459565	0.009020910605389827
422.48848024059726	0.5334089680463949	0.009610213233197913
422.49238230167094	0.7449734520657028	0.011398319035593562
422.4962832906496	0.89612781948095	0.012505294554543547
422.50018320752497	0.9312712424871138	0.012717098468221765
422.5040820522885	0.9872200451592626	0.01308570485774586
422.50797982493197	0.9335759908099901	0.012749662139713607
422.5118765254469	0.9819547387129635	0.013096263980568599
422.5157721538256	0.9113154437444814	0.012615380352889876
422.51966671005994	0.8008813060327078	0.01183083755255477
422.5235601941425	0.8297811817456965	0.012019778374542545
422.5274526060653	0.8310619094991223	0.012045066888221052
