element,wave_A,loggf,lower_state_eV,rad,stark,waals
Fe 1,4742.551,-2.165,4.371,1.3182567385564047e8,5.128613839913648e-5,-7.34
C 1,4742.561,-2.99,7.946,3.090295432513592e8,3.090295432513592e-5,-7.16
V 1,4742.623,-0.712,2.332,8.128305161640996e7,2.3988329190194897e-6,-7.73
Ti 1,4742.678,-4.518,0.826,1.778279410038923e6,8.912509381337459e-7,-7.8
Ce 2,4742.756,-2.1,1.544,,,
Ti 1,4742.789,0.21,2.236,1.2022644346174131e8,9.120108393559096e-7,325.246
Fe 1,4742.932,-2.542,4.191,2.3988329190194947e8,9.549925860214369e-6,-7.42
Zr 1,4742.934,-1.06,1.53,,,
Mn 2,4742.954,-2.785,5.38,2.7542287033381635e8,3.235936569296281e-7,-7.89
Ni 1,4743.013,-2.974,4.165,5.623413251903491e7,0.00013182567385564074,-7.27
Dy 2,4743.02,-2.32,0.59,,,
Ru 1,4743.024,-0.57,2.792,,,
La 2,4743.071,-0.17,1.782,,,
Cr 1,4743.13,-0.87,4.203,1.0715193052376048e8,4.897788193684467e-6,-7.53
V 1,4743.141,-2.534,1.945,5.011872336272725e7,8.317637711026709e-7,-7.78
Ti 1,4743.145,-2.116,3.716,1.348962882591656e8,9.332543007969905e-5,-7.18
Ce 2,4743.233,-1.79,1.796,,,
Fe 2,4743.265,-6.071,2.676,3.090295432513592e8,2.951209226666384e-7,-7.91
Fe 1,4743.287,-5.143,2.759,1.230268770812381e7,6.165950018614822e-7,-7.83
Fe 1,4743.298,-4.153,4.473,1.3182567385564047e8,0.00013803842646028852,-7.29
Cr 1,4743.354,-4.006,3.011,8.128305161640996e7,1.071519305237607e-6,-7.76
Fe 1,4743.398,-3.48,4.733,2.089296130854041e8,0.0005370317963702527,-7.12
Ti 1,4743.471,-2.844,3.166,6.3095734448019296e7,4.570881896148752e-6,-7.5
Ce 2,4743.478,-1.19,0.9,,,
V 2,4743.524,-2.493,4.244,2.8183829312644494e8,3.548133892335753e-7,-7.86
V 1,4743.542,-1.113,2.365,9.772372209558111e7,3.548133892335753e-6,-7.73
V 1,4743.605,-1.682,3.089,7.244359600749905e7,1.2589254117941661e-5,-7.3
Gd 1,4743.652,0.118,0.841,,,
Th 2,4743.685,-2.019,0.51,,,
Ca 1,4743.704,-1.842,4.877,1.0471285480508985e8,0.0001445439770745928,-6.88
Ce 2,4743.716,-1.29,1.212,,,
V 1,4743.72,-1.043,1.945,3.8018939632056125e7,7.762471166286911e-7,-7.79
Nb 1,4743.83,-1.54,1.079,,,
Sc 1,4743.83,0.422,1.448,1.2302687708123812e8,2.5703957827688647e-6,389.26
Os 1,4743.891,-1.5,2.19,,,
Fe 1,4744.125,-4.619,4.387,1.5135612484362072e8,0.0001230268770812381,-7.29
Ce 2,4744.139,-1.27,1.406,,,
Pr 1,4744.163,-0.36,0.0,,,
Cr 1,4744.296,-2.178,4.099,1.0e8,1.2589254117941661e-5,-7.5
K 1,4744.34,-2.637,1.61,3.981071705534969e7,0.0038018939632056127,-6.54
Cr 1,4744.352,-3.047,3.011,7.943282347242822e7,1.096478196143185e-6,-7.76
Fe 1,4744.636,-5.667,0.99,2.1379620895022325e7,7.585775750291836e-7,-7.79
V 1,4744.638,-2.638,2.616,1.8620871366628658e7,5.888436553555884e-5,-7.45
Nb 1,4744.645,-1.01,1.532,,,
Ca 1,4744.71,-2.224,4.531,4.365158322401656e7,3.467368504525317e-5,-7.15
Ca 1,4744.775,-1.351,4.878,1.0471285480508985e8,0.0001445439770745928,-6.88
Ce 1,4744.801,0.143,0.965,,,
Ni 1,4744.852,-1.811,4.165,5.370317963702533e7,8.912509381337459e-5,-7.27
Fe 1,4744.869,-4.377,3.301,3.090295432513592e7,9.77237220955811e-7,-7.82
Pr 2,4744.906,-1.138,0.204,,,
Fe 1,4744.94,-2.814,3.267,6.4565422903465495e7,1.7378008287493763e-6,-7.8
Ce 2,4744.944,-1.19,0.446,,,
Fe 1,4745.069,-5.001,2.692,6.025595860743581e7,6.918309709189363e-7,-7.82
Rh 1,4745.116,-1.98,0.966,,,
Fe 1,4745.128,-4.07,2.223,1.584893192461111e8,1.3182567385564074e-6,350.27
Cr 1,4745.188,-2.038,3.113,2.6915348039269138e7,1.2302687708123811e-6,-7.79
Er 1,4745.272,-0.643,0.863,,,
Cr 1,4745.307,-1.38,2.708,1.9054607179632443e8,1.0471285480508985e-6,231.26
Fe 2,4745.489,-9.483,0.232,0.8128305161640993,2.951209226666384e-7,-7.94
Ti 1,4745.515,-5.192,0.818,1.3489628825916534e6,8.912509381337459e-7,-7.8
Ce 2,4745.57,-3.12,0.902,,,
W 1,4745.577,-1.43,2.246,,,
Sm 2,4745.68,-0.93,0.104,,,
Fe 1,4745.742,-4.383,3.301,3.090295432513592e7,9.77237220955811e-7,-7.82
Dy 2,4745.742,-1.734,0.928,,,
Co 1,4745.759,-2.133,4.147,2.511886431509582e8,7.76247116628691e-6,-7.53
Fe 1,4745.8,-1.336,3.654,1.659586907437563e8,4.677351412871981e-6,-7.55
Gd 1,4745.828,-0.415,0.881,,,
Fe 1,4745.839,-2.801,4.103,2.9512092266663903e8,2.3442288153199225e-5,-7.51
Ca 1,4745.956,-1.499,6.023,1.1748975549395303e8,0.0003311311214825911,-7.09
Co 1,4746.114,-0.431,3.93,1.659586907437563e8,7.413102413009177e-6,-7.54
Sc 1,4746.152,-1.394,2.614,7.762471166286911e7,7.943282347242822e-6,-7.54
Ca 1,4746.271,-1.667,4.535,4.466835921509635e7,3.467368504525317e-5,-7.15
Fe 1,4746.276,-1.991,4.191,2.238721138568338e8,1.0e-5,-7.31
Ca 1,4746.3,-2.362,4.532,4.365158322401656e7,3.467368504525317e-5,-7.15
V 2,4746.386,-1.852,2.372,1.8197008586099824e8,3.235936569296281e-7,-7.85
Mn 1,4746.502,-2.527,4.794,1.2589254117941661e8,1.0471285480508985e-6,-7.77
Fe 1,4746.538,-2.312,5.033,6.16595001861481e8,2.5118864315095822e-5,-7.12
V 1,4746.616,-0.59,2.029,1.2022644346174131e8,4.677351412871981e-6,774.232
Fe 1,4746.668,-3.393,4.415,1.4125375446227553e8,3.090295432513592e-5,-7.32
Mn 2,4746.715,-4.196,5.38,2.7542287033381635e8,3.235936569296281e-7,-7.89
V 1,4746.828,-2.219,3.066,6.3095734448019296e7,1.9952623149688786e-5,-7.3
V 1,4746.846,-3.448,2.115,1.445439770745928e8,4.073802778041131e-6,-7.72
Pr 2,4746.92,-0.497,0.63,,,
Fe 1,4746.981,-2.367,4.733,2.1379620895022324e8,0.00038018939632056124,-7.14
Ce 2,4747.028,-1.81,1.456,,,
Cr 1,4747.05,-2.089,3.092,8.91250938133746e7,1.1481536214968817e-6,-7.75
Ce 2,4747.059,-1.05,1.581,,,
V 1,4747.116,-0.995,2.578,1.698243652461746e8,6.9183097091893625e-6,-7.57
Ce 2,4747.167,-1.27,0.32,,,
Co 2,4747.231,-7.723,0.118,1.2302687708123816,2.754228703338169e-7,-7.95
Cr 1,4747.24,-1.066,4.616,2.1379620895022324e8,2.39883291901949e-5,-7.46
Ti 1,4747.257,-2.341,1.067,1.3803842646028867e8,1.0232929922807537e-6,-7.71
Ce 2,4747.26,-1.79,0.902,,,
Fe 1,4747.265,-3.545,4.58,4.897788193684466e7,1.4791083881682072e-5,-7.46
Fe 1,4747.48,-4.247,4.584,5.248074602497723e7,3.8904514499428046e-5,-7.31
Cr 2,4747.587,-4.062,5.662,3.46736850452531e8,3.235936569296281e-7,191.248
V 1,4747.599,-1.904,3.087,1.479108388168207e8,1.9952623149688786e-5,-7.3
V 1,4747.612,-4.787,0.267,7.5857757502918355e6,7.079457843841374e-7,-7.78
Cr 1,4747.645,-1.565,4.208,1.2022644346174131e8,8.912509381337459e-7,-7.75
Sr 2,4747.671,-1.815,5.919,,,
Ti 1,4747.674,-0.83,2.249,1.2022644346174131e8,9.120108393559096e-7,-7.71
Ca 1,4747.74,-2.813,5.045,1.6595869074375598e7,0.0003019951720402016,-6.69
Ca 1,4747.81,-2.219,4.532,4.265795188015926e7,3.467368504525317e-5,-7.15
Ni 1,4747.82,-2.888,4.167,1.8197008586099824e8,0.00010964781961431851,-7.27
Na 1,4747.941,-2.379,2.102,,,
Ce 2,4747.966,-2.56,1.254,,,
Si 1,4747.993,-2.057,4.93,3.3884415613920206e8,3.5481338923357534e-5,-7.12
Fe 1,4748.012,-2.544,4.607,2.8183829312644494e8,4.365158322401657e-6,-7.3
Cr 1,4748.093,-3.551,3.845,9.772372209558113e6,7.079457843841374e-7,-7.79
Mn 1,4748.176,-1.768,4.827,1.0e8,1.3489628825916533e-6,-7.72
Cr 1,4748.209,-3.67,3.013,8.128305161640996e7,1.071519305237607e-6,-7.76
Ce 2,4748.243,-1.6,1.706,,,
Ce 2,4748.359,-2.13,1.244,,,
Fe 2,4748.366,-3.483,7.845,1.0715193052376049e9,1.4125375446227554e-6,377.282
Fe 1,4748.386,-6.344,2.453,6.025595860743569e8,1.6595869074375596e-6,-7.67
V 1,4748.503,-0.62,2.04,1.2022644346174131e8,4.677351412871981e-6,777.231
Mn 2,4748.607,-3.193,6.133,3.981071705534969e8,3.235936569296281e-7,-7.86
Ce 2,4748.624,-1.99,1.339,,,
Fe 1,4748.631,-4.535,4.387,1.5488166189124796e8,5.495408738576248e-5,-7.29
La 2,4748.73,-0.54,0.927,,,
V 1,4748.805,-2.754,1.955,4.265795188015926e7,7.762471166286911e-7,-7.79
Co 1,4748.849,-3.305,4.149,1.348962882591656e8,7.76247116628691e-6,-7.53
Cr 1,4748.934,-3.849,2.545,1.7782794100389227e8,1.0471285480508985e-6,-7.74
Sc 1,4748.968,-1.648,1.996,2.8840315031266056e7,5.248074602497723e-6,-7.83
Fe 1,4749.01,-3.058,4.796,1.9498445997580415e8,0.00013182567385564074,-7.13
Ca 1,4749.102,-2.095,4.68,8.511380382023759e7,3.63078054770101e-5,-7.1
Mn 2,4749.112,-1.955,6.186,2.691534803926914e8,3.3884415613920274e-7,-7.87
Gd 1,4749.137,0.202,2.078,,,
Fe 1,4749.181,-5.159,4.608,2.29086765276777e8,4.365158322401657e-6,-7.3
Cr 1,4749.209,-1.643,3.369,3.235936569296281e7,1.096478196143185e-6,-7.79
Ce 2,4749.234,-1.26,1.212,,,
V 2,4749.241,-4.224,1.679,1.8620871366628656e8,3.019951720402019e-7,-7.88
Fe 1,4749.253,-4.001,4.256,1.9054607179632443e8,1.3803842646028839e-5,-7.41
C 1,4749.263,-2.342,8.537,1.9498445997580415e8,0.008912509381337459,-6.66
Cr 1,4749.277,-1.864,4.204,1.0e8,7.585775750291836e-7,-7.75
V 2,4749.297,-3.155,2.276,2.0417379446695316e8,2.8840315031266057e-7,-7.85
Co 1,4749.342,-5.226,0.582,14454.39770745928,5.248074602497723e-7,-7.83
Co 1,4749.35,-2.179,4.049,2.4547089156850335e8,3.548133892335753e-6,-7.56
Mo 1,4749.404,-1.839,3.187,,,
Co 1,4749.421,-2.6,2.871,2.6302679918953815e8,1.3803842646028838e-6,-7.76
Er 3,4749.457,-2.23,5.82,,,
Co 1,4749.485,-1.947,3.409,1.3803842646028867e8,2.884031503126606e-6,-7.73
Ce 2,4749.508,-0.77,1.582,,,
Yb 2,4749.527,-2.3,6.456,,,
Fe 1,4749.544,-5.267,4.387,1.5488166189124796e8,2.187761623949552e-5,-7.29
Ti 2,4749.546,-2.306,5.638,6.456542290346563e8,1.9054607179632483e-6,-7.71
Nd 2,4749.56,-1.55,0.559,,,
Cr 2,4749.568,-5.539,11.7,2.7542287033381635e8,6.0255958607435806e-5,-7.42
Ni 1,4749.571,-2.064,4.167,1.7782794100389227e8,0.00010964781961431851,-7.27
Fe 1,4749.593,-4.984,1.608,2.0417379446695316e8,6.918309709189363e-7,-7.79
Cr 2,4749.611,-4.03,11.7,2.7542287033381635e8,4.265795188015926e-5,-7.42
Cr 1,4749.619,-0.561,4.618,2.1379620895022324e8,2.39883291901949e-5,-7.46
Ni 2,4749.624,-2.221,14.141,1.0471285480508986e9,3.3884415613920276e-5,-7.18
Fe 1,4749.651,-4.537,4.154,2.9512092266663903e8,1.3182567385564074e-5,-7.5
Co 1,4749.673,-0.236,3.053,1.2882495516931322e8,3.890451449942805e-6,-7.58
Ni 3,4749.683,-3.139,25.004,2.6915348039269137e9,1.5488166189124828e-6,-7.71
Nb 1,4749.701,-0.66,1.429,,,
W 1,4749.703,-0.84,2.422,,,
Fe 3,4749.703,-4.689,25.08,1.1748975549395304e9,3.6307805477010103e-6,-7.57
Fe 2,4749.72,-6.243,11.017,8.128305161640995e8,2.1877616239495517e-6,-7.67
Fe 2,4749.728,-5.079,9.576,3.090295432513592e8,3.090295432513592e-7,-7.9
Nd 1,4749.748,0.13,0.456,,,
Fe 2,4749.75,-3.648,11.05,5.370317963702532e8,2.818382931264455e-6,-7.48
Fe 2,4749.762,-6.362,9.13,2.691534803926914e8,3.311311214825908e-7,-7.9
V 1,4749.769,-2.795,2.365,2.089296130854041e8,1.584893192461114e-6,-7.68
Cr 2,4749.775,-2.733,6.605,3.311311214825908e8,3.8018939632056126e-7,185.217
Cu 1,4749.789,-6.385,4.838,6.456542290346549e6,0.008317637711026709,-6.85
Tm 2,4749.791,-2.81,4.003,,,
Co 1,4749.801,-1.257,4.049,2.29086765276777e8,4.897788193684467e-6,-7.55
Fe 2,4749.804,-4.79,12.846,7.079457843841373e8,5.4954087385762485e-6,-7.59
Ce 2,4749.818,-2.08,1.14,,,
Cu 2,4749.856,-4.97,16.851,2.6302679918953815e8,0.0001412537544622754,-7.07
Cu 1,4749.87,-4.141,7.513,1.62181009735893e7,0.0044668359215096305,-6.77
Yb 2,4749.884,-1.76,7.047,,,
Ni 2,4749.902,-2.254,14.516,3.3884415613920206e8,7.079457843841373e-5,-7.14
Ni 2,4749.922,-4.125,13.709,3.235936569296281e8,1.1481536214968817e-5,-7.35
Ti 1,4749.926,-4.294,2.305,4.365158322401656e7,5.623413251903491e-6,-7.52
Ca 1,4749.931,-2.509,4.681,8.511380382023759e7,3.63078054770101e-5,-7.1
Fe 2,4749.931,-6.272,10.829,1.2882495516931322e9,1.584893192461114e-6,-7.74
Co 1,4749.932,-2.01,4.025,1.8197008586099824e8,5.888436553555884e-6,-7.56
Cr 2,4749.945,-5.154,10.683,1.0715193052376049e9,1.2589254117941661e-6,-7.73
Cr 2,4749.947,-6.739,11.7,1.5135612484362072e8,6.0255958607435806e-5,-7.42
Fe 1,4749.948,-1.24,4.559,3.019951720402019e8,1.0964781961431852e-5,634.275
V 3,4749.949,0.613,19.992,5.370317963702532e8,1.071519305237607e-6,-7.61
Yb 2,4749.949,-0.41,7.394,,,
Cr 1,4749.961,-1.674,3.368,7.585775750291836e7,8.709635899560814e-6,-7.67
Ni 3,4749.965,-4.515,25.098,2.818382931264449e9,1.584893192461114e-6,-7.71
Th 1,4749.971,-1.343,1.006,,,
Cu 1,4749.975,-7.733,4.838,6.606934480075965e6,0.005754399373371567,-6.85
Cu 1,4749.988,-8.772,7.513,7.413102413009177e6,0.018620871366628676,-6.83
Nd 2,4750.02,-2.09,0.205,,,
Ti 2,4750.022,-5.877,6.488,6.606934480075965e8,1.698243652461746e-6,-7.72
Cu 2,4750.074,-4.187,16.829,1.3182567385564048e9,0.0005011872336272725,-7.13
Y 2,4750.1,-3.05,7.337,5.623413251903491e8,1.9952623149688786e-5,-7.39
Ni 3,4750.112,-2.65,24.984,3.5481338923357606e9,1.445439770745928e-6,-7.71
Mo 1,4750.117,-1.705,3.393,,,
Mn 2,4750.132,-2.16,10.125,8.317637711026709e8,2.0892961308540407e-6,-7.67
Ce 2,4750.166,-2.12,1.767,,,
Fe 1,4750.196,-3.662,4.473,1.2302687708123812e8,2.4547089156850286e-5,-7.32
Cr 2,4750.202,-3.095,11.686,1.9054607179632443e8,1.9952623149688786e-5,-7.31
Ca 1,4750.232,-1.74,4.877,1.0471285480508985e8,0.0001122018454301963,-6.88
Fe 2,4750.25,-2.52,10.348,7.943282347242821e8,1.3489628825916533e-6,386.286
Fe 2,4750.266,-12.392,0.048,0.5754399373371569,2.951209226666384e-7,-7.94
Mn 2,4750.27,-11.307,5.52,5.248074602497725,3.3884415613920274e-7,-7.92
Ca 3,4750.313,-0.621,42.248,1.6218100973589332e9,3.0199517204020193e-6,-7.59
Fe 2,4750.316,-2.905,10.399,1.0e9,1.7378008287493763e-6,406.285
Y 1,4750.341,-2.424,1.983,1.2022644346174131e8,3.090295432513592e-6,-7.61
Fe 3,4750.344,-5.365,25.08,1.202264434617413e9,3.6307805477010103e-6,-7.57
Yb 2,4750.351,-2.73,6.562,,,
Tm 2,4750.387,-2.02,3.824,,,
Mo 1,4750.39,-0.924,2.523,,,
La 1,4750.421,-0.43,1.23,,,
V 1,4750.444,-4.147,3.055,1.0715193052376048e8,1.9498445997580456e-5,-7.57
Fe 2,4750.489,-4.816,12.719,7.943282347242821e8,5.3703179637025325e-5,-7.44
Fe 2,4750.489,-3.641,12.845,1.230268770812381e9,7.76247116628691e-6,-7.58
Fe 2,4750.498,-5.871,6.803,5.495408738576248e8,3.162277660168379e-7,210.228
Mn 2,4750.52,-5.803,5.52,3.019951720402019e8,3.235936569296281e-7,-7.89
Cr 2,4750.536,-4.575,11.81,1.8620871366628656e8,1.1481536214968817e-5,-7.32
Fe 2,4750.565,-3.345,10.288,9.772372209558111e8,6.760829753919819e-6,-7.59
Fe 2,4750.572,-15.84,0.083,0.5128613839913648,2.951209226666384e-7,-7.94
Fe 2,4750.572,-11.252,0.083,0.5128613839913648,2.951209226666384e-7,-7.94
Ni 3,4750.574,-4.27,22.467,4.570881896148752e9,6.025595860743581e-7,-7.85
Mn 2,4750.581,-2.318,10.125,8.317637711026709e8,2.0892961308540407e-6,-7.67
Ti 1,4750.588,-3.729,3.409,4.168693834703355e7,5.011872336272725e-6,-7.25
Ti 1,4750.588,-3.388,2.292,4.365158322401656e7,4.466835921509635e-6,-7.52
Ce 2,4750.599,-3.26,1.533,,,
Ti 1,4750.666,-3.263,3.334,1.4125375446227553e8,7.413102413009176e-5,-7.29
Ca 1,4750.67,-1.85,4.877,1.0471285480508985e8,0.0001122018454301963,-6.88
Sm 1,4750.724,-0.45,0.282,,,
V 1,4750.775,-3.731,2.256,7.943282347242822e7,1.62181009735893e-5,-7.52
Ce 1,4750.831,-0.852,0.274,,,
Ca 1,4750.895,-2.093,4.535,4.365158322401656e7,3.467368504525317e-5,-7.15
Ca 1,4750.918,-2.047,4.877,1.0715193052376048e8,0.00018197008586099826,-6.88
V 1,4750.981,-0.34,2.055,1.2022644346174131e8,4.677351412871981e-6,782.231
V 1,4751.008,-3.374,2.332,1.8197008586099824e8,9.120108393559096e-7,-7.7
Cr 1,4751.055,-1.091,4.186,1.0e8,4.365158322401657e-6,-7.52
Fe 1,4751.084,-2.565,4.186,7.413102413009177e7,1.1748975549395302e-5,-7.47
Fe 1,4751.105,-3.144,4.733,1.9498445997580415e8,0.0002951209226666387,-7.12
V 1,4751.112,-2.649,1.95,5.011872336272725e7,8.317637711026709e-7,-7.78
Mo 1,4751.112,-2.128,2.476,,,
V 1,4751.13,-3.768,0.287,7.762471166286912e6,7.079457843841374e-7,-7.78
Cr 1,4751.131,-1.358,3.369,5.370317963702533e7,1.9952623149688786e-5,-7.56
V 1,4751.272,-0.998,2.365,7.943282347242822e7,8.709635899560814e-7,-7.73
Ce 2,4751.364,-1.66,2.213,,,
Fe 1,4751.364,-2.687,4.435,1.2302687708123812e8,3.3113112148259076e-5,-7.33
Nb 1,4751.433,-0.53,2.105,,,
V 1,4751.439,-3.597,2.359,1.8197008586099824e8,1.8197008586099826e-6,-7.68
Co 1,4751.509,-1.46,4.049,2.238721138568338e8,8.51138038202376e-6,-7.53
Ce 2,4751.547,-1.06,1.244,,,
V 1,4751.573,-0.65,1.931,3.019951720402019e7,8.709635899560814e-7,218.251
Fe 1,4751.679,-3.703,4.835,1.9952623149688828e8,0.000223872113856834,-7.13
V 1,4751.692,-2.691,1.95,3.8018939632056125e7,7.762471166286911e-7,-7.79
Ca 1,4751.744,-1.633,4.878,1.0471285480508985e8,0.0001122018454301963,-6.88
Cr 1,4751.794,-2.898,3.422,2.1379620895022325e7,6.45654229034655e-7,-7.79
Na 1,4751.822,-2.078,2.104,,,
V 1,4751.846,-1.5,2.13,8.511380382023759e7,1.6218100973589298e-6,-7.76
Zr 1,4751.909,-1.89,0.623,,,
Ca 1,4751.993,-1.559,4.878,1.0715193052376048e8,0.00018197008586099826,-6.88
Cr 1,4752.087,0.44,4.186,6.918309709189363e7,7.943282347242822e-7,-7.78
Ce 2,4752.088,-1.88,0.857,,,
Ni 1,4752.115,-1.535,3.679,1.2589254117941661e8,6.9183097091893625e-6,-7.51
Co 1,4752.123,-1.825,4.146,2.6302679918953815e8,8.91250938133746e-6,-7.48
W 1,4752.203,-1.15,2.353,,,
Ce 2,4752.205,-2.01,0.536,,,
Ce 2,4752.264,-1.1,1.52,,,
Ce 2,4752.291,-0.87,2.004,,,
V 1,4752.401,-1.904,2.379,5.754399373371567e7,4.365158322401657e-6,-7.75
Th 2,4752.414,-0.971,0.77,,,
Ni 1,4752.42,-0.7,3.658,2.29086765276777e8,3.090295432513592e-5,794.279
Tb 2,4752.53,-0.55,0.0,,,
V 1,4752.533,-1.443,2.581,1.698243652461746e8,6.9183097091893625e-6,-7.57
Ce 1,4752.576,-0.743,0.384,,,
W 1,4752.576,-1.85,1.65,,,
Cr 1,4752.624,-1.43,4.532,1.659586907437563e8,1.5135612484362072e-6,-7.73
Y 1,4752.788,-0.327,1.9,1.0715193052376048e8,1.2302687708123811e-6,-7.71
Fe 1,4752.794,-3.208,4.301,1.8620871366628656e8,6.9183097091893625e-6,-7.42
Mn 1,4752.889,-2.929,3.771,1.8197008586099826e7,6.45654229034655e-7,-7.82
Cr 1,4752.896,-1.684,3.369,7.585775750291836e7,8.709635899560814e-6,-7.67
Zr 1,4753.061,-0.5,1.875,,,
Sc 1,4753.161,-1.659,0.0,2.884031503126606e6,1.122018454301963e-6,268.242
Mn 1,4753.226,-2.359,4.755,1.0471285480508985e8,1.1748975549395304e-6,-7.77
Mo 1,4753.34,-2.066,2.623,,,
Ce 2,4753.632,-1.15,1.279,,,
Co 2,4753.712,-3.686,3.868,5.370317963702532e8,2.818382931264455e-7,-7.88
Mn 1,4753.897,-0.92,5.214,3.715352290971728e8,4.365158322401657e-6,-7.63
V 1,4753.929,-0.29,2.074,1.2022644346174131e8,4.677351412871981e-6,789.23
K 1,4753.93,-2.97,1.617,3.890451449942805e7,,
Cr 1,4754.01,-1.08,3.375,2.818382931264455e7,1.9952623149688786e-5,-7.57
Mn 1,4754.018,-0.647,2.282,9.549925860214369e7,3.7153522909717276e-6,-7.6
Mn 1,4754.03,-0.787,2.282,9.549925860214369e7,3.7153522909717276e-6,-7.6
Fe 1,4754.036,-1.84,4.733,2.6302679918953815e8,0.00014791083881682073,-7.25
Mn 1,4754.047,-0.668,2.282,9.549925860214369e7,3.7153522909717276e-6,-7.6
Fe 1,4754.053,-3.025,4.103,2.1379620895022324e8,1.584893192461114e-5,-7.34
Mn 2,4754.056,-3.124,6.139,3.981071705534969e8,3.311311214825908e-7,-7.86
Mn 1,4754.063,-0.67,2.282,9.549925860214369e7,3.7153522909717276e-6,-7.6
Mn 1,4754.078,-1.84,2.282,9.549925860214369e7,3.7153522909717276e-6,-7.6
V 1,4754.144,-2.0,3.079,1.479108388168207e8,1.9498445997580456e-5,-7.3
Ce 2,4754.151,-1.55,1.709,,,
V 2,4754.237,-4.749,2.026,3.019951720402019e8,2.8840315031266057e-7,-7.86
Ti 2,4754.278,-3.866,1.231,2.3988329190194947e8,3.890451449942805e-7,-7.84
Fe 1,4754.315,-4.489,4.26,3.090295432513592e7,1.1481536214968817e-5,-7.31
Ti 1,4754.358,-1.647,2.16,1.9952623149688828e8,5.370317963702533e-6,-7.63
Co 1,4754.361,-0.771,3.231,1.2882495516931322e8,3.890451449942805e-6,-7.58
Ti 1,4754.468,-1.823,3.062,9.332543007969905e7,4.168693834703355e-6,-7.47
Fe 2,4754.495,-6.578,2.642,3.46736850452531e8,2.6302679918953816e-7,-7.9
V 1,4754.569,-2.859,2.278,7.762471166286911e7,1.0471285480508985e-5,-7.52
Ca 1,4754.669,-1.773,4.877,1.0471285480508985e8,0.00013803842646028852,-6.88
Mn 1,4754.681,-1.902,3.772,1.8197008586099826e7,6.45654229034655e-7,-7.82
Cr 1,4754.74,-1.36,3.092,8.317637711026709e7,4.168693834703355e-6,347.24
Ni 1,4754.756,-0.97,3.635,2.187761623949552e8,3.6307805477010103e-6,-7.59
Dy 2,4754.992,-0.09,2.417,,,
Mn 1,4755.012,-4.372,3.373,1.3803842646028867e8,6.165950018614822e-7,-7.82
Ca 1,4755.105,-2.78,4.532,5.128613839913648e7,3.235936569296281e-5,-7.15
Cr 1,4755.14,-1.376,3.011,2.0417379446695276e7,7.762471166286911e-7,249.264
Fe 1,4755.152,-4.121,4.559,2.0417379446695316e8,2.0417379446695274e-5,-7.32
Fe 1,4755.168,-3.268,4.584,4.897788193684466e7,1.4791083881682072e-5,-7.46
Si 1,4755.276,-3.197,4.92,3.311311214825908e8,0.00015848931924611142,-7.14
Nb 1,4755.313,-1.4,1.63,,,
Gd 2,4755.343,-0.235,2.449,,,
Sm 2,4755.37,-1.85,0.277,,,
Sr 1,4755.495,-0.67,2.498,,,
Ce 2,4755.5,-1.64,1.495,,,
Gd 2,4755.503,-0.16,2.525,,,
Ce 2,4755.53,-0.92,0.721,,,
Rh 1,4755.58,-2.09,1.783,,,
Tm 2,4755.596,-2.57,0.0,,,
Ni 2,4755.607,-1.438,8.775,9.120108393559115e8,1.6218100973589298e-6,-7.7
Ti 1,4755.71,-2.575,3.441,2.7542287033381635e8,3.8904514499428046e-5,-7.26
Mn 2,4755.727,-1.222,5.397,2.7542287033381635e8,3.235936569296281e-7,-7.89
U 2,4755.735,-2.156,0.0,,,
Ni 2,4755.761,-1.97,8.899,4.677351412871981e8,2.691534803926914e-7,-7.91
Cr 1,4755.796,-1.382,4.208,1.0e8,7.585775750291836e-7,-7.75
Nd 1,4755.843,0.002,0.456,,,
V 1,4756.026,-1.821,3.08,6.3095734448019296e7,1.9498445997580456e-5,-7.3
Pr 2,4756.035,-1.431,0.055,,,
Cr 1,4756.051,-2.429,2.987,1.2882495516931322e8,1.3182567385564074e-6,-7.73
Mn 1,4756.061,-2.146,3.772,1.8197008586099826e7,6.45654229034655e-7,-7.82
Cr 1,4756.112,0.09,3.104,9.120108393559097e7,2.818382931264455e-6,321.248
Ru 1,4756.238,-1.81,1.063,,,
V 1,4756.431,-2.281,2.583,1.698243652461746e8,6.9183097091893625e-6,-7.57
Ir 1,4756.456,-0.15,4.2,,,
Ni 1,4756.51,-0.27,3.48,1.2589254117941661e8,3.467368504525317e-6,715.238
Ta 1,4756.512,-1.61,0.491,,,
Fe 1,4756.521,-3.392,4.076,6.918309709189363e7,1.584893192461114e-5,-7.52
Ce 2,4756.582,-2.53,0.956,,,
Co 1,4756.722,-0.897,3.93,1.5135612484362072e8,1.698243652461746e-5,-7.52
U 1,4756.806,-1.014,0.077,,,
Ti 1,4756.867,-3.371,2.239,1.348962882591656e8,4.365158322401657e-6,-7.69
Fe 2,4756.881,-4.386,5.569,3.8904514499428046e8,2.951209226666384e-7,173.238
Fe 1,4756.964,-3.555,4.26,4.897788193684466e7,1.3803842646028839e-5,-7.41
Ti 2,4756.987,-1.862,5.885,6.918309709189363e8,2.5118864315095823e-6,-7.69
Cr 1,4757.006,-1.629,3.551,4.78630092322638e7,7.762471166286911e-7,-7.78
V 1,4757.069,-2.948,2.359,1.8197008586099824e8,1.288249551693135e-6,-7.68
