element,wave_A,loggf,lower_state_eV,rad,stark,waals
Gd 2,4202.522,-0.428,1.616,,,
Cr 1,4202.561,-3.309,3.889,1.5488166189124796e8,6.760829753919819e-7,-7.73
Mn 1,4202.617,-1.656,5.087,2.187761623949552e8,9.332543007969905e-7,-7.77
Fe 1,4202.692,-5.071,3.695,3.981071705534969e7,3.235936569296281e-5,-7.46
Ce 2,4202.712,-1.74,0.701,,,
Fe 1,4202.753,-2.22,3.047,1.0e7,6.918309709189363e-7,-7.82
Fe 1,4202.764,-4.219,3.017,1.2022644346174131e8,5.370317963702533e-7,-7.77
Fe 2,4202.86,-2.665,6.807,4.1686938347033465e8,3.162277660168379e-7,202.194
Sm 2,4202.91,-0.98,0.485,,,
Ce 2,4202.931,-0.33,0.559,,,
Ce 2,4202.958,-0.46,0.446,,,
Cr 1,4203.041,-2.794,3.0,2.511886431509582e8,8.128305161640995e-6,-7.61
Sm 2,4203.05,-0.51,0.434,,,
Ca 1,4203.117,-2.107,2.933,2.884031503126612e8,0.0003890451449942805,-6.76
Mn 1,4203.145,-1.52,4.606,1.0715193052376048e8,6.30957344480193e-7,-7.83
Ce 2,4203.164,-0.5,2.145,,,
S 1,4203.199,-2.489,9.845,3.981071705534969e8,0.0001148153621496883,-7.08
S 1,4203.199,-2.157,9.845,3.8904514499428046e8,0.0001148153621496883,-7.08
Ce 2,4203.218,-0.59,1.319,,,
Cr 1,4203.239,-4.187,2.987,1.8620871366628656e8,8.128305161640995e-6,-7.61
Cr 1,4203.242,-2.299,2.545,234422.88153199226,6.918309709189363e-7,-7.81
Cr 1,4203.29,-3.15,2.545,234422.88153199226,6.918309709189363e-7,-7.81
Fe 1,4203.295,-3.753,3.018,1.2022644346174131e8,5.128613839913648e-7,-7.77
V 1,4203.302,-2.997,0.275,9.120108393559097e7,1.096478196143185e-6,-7.74
Fe 1,4203.303,-3.286,4.154,2.4547089156850335e8,4.265795188015926e-5,-7.29
Ce 2,4203.317,-2.29,0.9,,,
Fe 1,4203.402,-4.962,3.252,1.445439770745928e7,1.3489628825916533e-5,-7.49
Nb 1,4203.41,-0.64,1.662,,,
Ti 1,4203.457,-0.309,2.25,1.2302687708123812e8,1.479108388168207e-6,-7.71
Ce 2,4203.502,-1.8,0.0,,,
Ce 2,4203.502,-0.59,2.145,,,
Ti 1,4203.529,-5.144,1.46,7.079457843841374e7,7.943282347242822e-7,-7.76
Fe 2,4203.559,-1.436,10.987,1.2302687708123812e8,1.8197008586099827e-5,-7.31
Fe 1,4203.568,-3.869,1.011,5.495408738576248e6,6.760829753919819e-7,-7.82
Cr 1,4203.589,-1.12,2.544,1.1481536214968818e6,6.918309709189363e-7,232.26
Fe 1,4203.675,-0.69,4.584,3.981071705534969e8,1.0232929922807536e-5,-7.64
Tm 1,4203.73,-0.19,0.0,,,
Ni 1,4203.758,-2.654,3.841,4.570881896148752e7,0.0003311311214825911,-7.27
W 1,4203.816,-1.29,1.508,,,
Fe 1,4203.938,-0.99,3.634,1.0715193052376048e8,8.128305161640995e-7,365.25
Ce 2,4203.948,-3.56,1.149,,,
Fe 1,4203.965,-2.758,3.274,9.120108393559097e7,9.332543007969905e-7,-7.79
Fe 1,4203.985,-1.01,2.845,7.762471166286911e7,8.128305161640995e-7,-7.78
Co 1,4204.017,-3.094,3.665,5.623413251903491e7,1.3489628825916533e-5,-7.42
La 2,4204.042,-1.01,0.709,,,
V 1,4204.046,-2.975,2.379,2.511886431509582e8,1.3489628825916533e-6,-7.69
Fe 1,4204.197,-1.299,4.415,1.621810097358933e8,0.00016218100973589298,-7.26
Cr 1,4204.204,-2.831,2.544,1.1481536214968818e6,6.918309709189363e-7,-7.81
V 2,4204.214,-2.45,1.704,2.6302679918953815e8,3.4673685045253164e-7,-7.86
Nb 1,4204.315,-1.2,1.094,,,
U 2,4204.354,-1.724,0.0,,,
W 1,4204.408,-0.17,2.387,,,
Cr 1,4204.465,-0.04,3.98,1.202264434617413e7,6.30957344480193e-7,-7.79
Fe 2,4204.471,-2.736,7.575,8.912509381337441e8,1.479108388168207e-6,390.291
V 1,4204.5,-3.5,0.267,9.120108393559097e7,1.096478196143185e-6,324.253
Sc 1,4204.515,-1.13,1.987,1.2022644346174131e8,1.445439770745928e-5,-7.55
Re 1,4204.536,-0.36,2.748,,,
Mo 1,4204.61,-1.438,2.918,,,
Y 2,4204.694,-1.467,0.0,2.754228703338169e7,6.606934480075964e-7,-7.8
Ce 2,4204.717,-1.28,0.792,,,
Ce 2,4204.763,-0.75,1.244,,,
Sm 2,4204.8,-1.94,0.378,,,
Cr 2,4204.826,-3.803,5.67,3.630780547701018e8,3.311311214825908e-7,190.234
Fe 2,4204.852,-1.323,11.208,2.3988329190194947e8,1.698243652461746e-6,-7.36
Co 1,4204.857,-3.141,3.514,1.1748975549395303e8,1.698243652461746e-5,-7.51
Gd 2,4204.858,-0.65,0.522,,,
V 1,4204.923,-3.323,2.264,9.772372209558111e7,4.897788193684466e-5,-7.53
Ce 2,4205.013,-2.17,0.561,,,
Fe 1,4205.016,-2.279,4.22,2.691534803926914e8,1.0964781961431852e-5,-7.33
Co 2,4205.027,-5.616,2.985,3.5481338923357606e8,2.8840315031266057e-7,-7.91
Cr 1,4205.028,-1.257,4.616,1.9952623149688828e8,1.4125375446227554e-6,-7.72
Eu 2,4205.04,0.21,0.0,,,
V 2,4205.05,-1.838,1.686,3.019951720402019e8,3.4673685045253164e-7,-7.86
Cr 1,4205.062,-1.706,3.648,2.0417379446695316e8,3.235936569296281e-5,-7.53
V 2,4205.084,-1.3,2.036,1.8197008586099824e8,2.8840315031266057e-7,-7.85
Fe 1,4205.098,-4.729,2.559,4.897788193684466e7,8.317637711026709e-7,-7.82
Cr 1,4205.123,-1.636,4.532,1.0e8,1.778279410038923e-5,-7.44
Fe 1,4205.126,-2.509,4.218,2.29086765276777e8,2.0417379446695274e-5,-7.32
Ce 2,4205.163,-0.95,1.212,,,
Sc 1,4205.203,-0.624,1.987,1.1481536214968841e8,1.445439770745928e-5,-7.55
Nd 2,4205.25,-0.87,0.559,,,
Nd 2,4205.253,-0.8,0.68,,,
Ti 1,4205.299,-1.511,2.305,7.762471166286911e7,7.76247116628691e-6,-7.55
Nb 1,4205.303,-0.85,0.049,,,
Er 1,4205.318,0.619,1.624,,,
Mn 2,4205.377,-3.44,1.809,3.090295432513592e8,2.691534803926914e-7,-7.89
Co 1,4205.439,-1.929,3.812,1.5135612484362072e8,7.76247116628691e-6,-7.53
S 1,4205.447,-2.364,9.847,3.981071705534969e8,0.00010715193052376059,-7.08
Ce 2,4205.452,-1.31,1.706,,,
Fe 2,4205.462,-5.435,2.642,2.884031503126612e8,2.691534803926914e-7,-7.89
Fe 1,4205.484,-5.63,3.634,6.4565422903465495e7,5.011872336272725e-5,-7.45
Fe 1,4205.538,-1.435,3.417,2.3442288153199178e8,8.91250938133746e-6,827.282
Nd 2,4205.58,-0.55,0.631,,,
Fe 2,4205.589,-0.418,11.207,1.348962882591656e8,9.120108393559096e-6,-7.35
Fe 1,4205.617,-3.172,4.435,1.479108388168207e8,0.00013803842646028852,-7.13
Sm 1,4205.779,-0.046,0.499,,,
Ce 2,4205.789,-0.79,0.875,,,
Mn 2,4205.792,-3.913,5.348,3.715352290971728e8,2.570395782768865e-7,-7.88
Mo 1,4205.806,-0.675,3.179,,,
Ti 1,4205.859,-1.958,2.256,1.202264434617413e7,5.7543993733715664e-5,-7.46
Ta 1,4205.885,-1.35,0.491,,,
Mn 1,4205.89,-2.636,4.608,1.0715193052376048e8,6.30957344480193e-7,-7.83
Ce 2,4205.892,-0.88,1.274,,,
Ti 2,4205.903,-3.981,1.116,2.5703957827688646e8,3.235936569296281e-7,-7.84
Zr 2,4205.939,-1.5,2.409,,,
Tm 2,4206.004,-1.84,0.0,,,
Ru 1,4206.015,-0.54,1.002,,,
V 2,4206.064,-3.583,1.673,3.235936569296281e8,2.951209226666384e-7,-7.86
Nb 1,4206.114,-0.62,1.574,,,
Sm 2,4206.12,-0.72,0.378,,,
