#This is the official release of the standard system response (instrument +
#atmosphere) for DES DR1 release (also known as Y3A2 Gold). The system response
#is defined in steps of 5 Angstrom, for DES-grizY filter bandpasses, from 3800
#Angstrom to 11000 Angstrom. The system responses (g/r/i/z/Y columns) includes
#the total throughput of the system (instrument+atmosphere). If you want the
#system throughput *without* the atmosphere, divide g/r/i/z/Y column by the atm
#column.
#
#Instrument throughput is defined as focal plane average from DECal scan for
#in-band wavelengths, and is defined as zero for out-of-band wavelengths. The
#in-band wavelengths are defined as (in Angstrom):
#
#g: 3800 - 5650
#r: 5400 - 7350
#i: 6750 - 8700
#z: 8250 - 10150
#Y: 9300 - 10700
#
#Atmospheric throughput is computed using ModTran 4 with the following 
#atmospheric parameters:
#
#Barometric Pressure 778 mb
#Precipitable Water Vapor 3 mm
#Ozone 263 Dobson
#Aerosol Optical Depth 0.03
#Aerosol Optical Index 1
#Airmass 1.2
#(Atmospheric throughput alone is available in the atm column)
#
#LAMBDA r atm
4700.0 0.00000 0.78414
4705.0 0.00000 0.78467
4710.0 0.00000 0.78527
4715.0 0.00000 0.78596
4720.0 0.00000 0.78657
4725.0 0.00000 0.78719
4730.0 0.00000 0.78779
4735.0 0.00000 0.78824
4740.0 0.00000 0.78853
4745.0 0.00000 0.78882
4750.0 0.00000 0.78943
4755.0 0.00000 0.79003
4760.0 0.00000 0.79064
4765.0 0.00000 0.79117
4770.0 0.00000 0.79160
4775.0 0.00000 0.79205
4780.0 0.00000 0.79241
4785.0 0.00000 0.79286
4790.0 0.00000 0.79314
4795.0 0.00000 0.79326
4800.0 0.00000 0.79370
4805.0 0.00000 0.79423
4810.0 0.00000 0.79466
4815.0 0.00000 0.79510
4820.0 0.00000 0.79563
4825.0 0.00000 0.79630
4830.0 0.00000 0.79706
4835.0 0.00000 0.79773
4840.0 0.00000 0.79842
4845.0 0.00000 0.79901
4850.0 0.00000 0.79953
4855.0 0.00000 0.80012
4860.0 0.00000 0.80072
4865.0 0.00000 0.80140
4870.0 0.00000 0.80207
4875.0 0.00000 0.80242
4880.0 0.00000 0.80303
4885.0 0.00000 0.80297
4890.0 0.00000 0.80324
4895.0 0.00000 0.80393
4900.0 0.00000 0.80452
4905.0 0.00000 0.80519
4910.0 0.00000 0.80578
4915.0 0.00000 0.80629
4920.0 0.00000 0.80680
4925.0 0.00000 0.80715
4930.0 0.00000 0.80758
4935.0 0.00000 0.80793
4940.0 0.00000 0.80828
4945.0 0.00000 0.80862
4950.0 0.00000 0.80905
4955.0 0.00000 0.80956
4960.0 0.00000 0.80983
4965.0 0.00000 0.81025
4970.0 0.00000 0.81060
4975.0 0.00000 0.81111
4980.0 0.00000 0.81154
4985.0 0.00000 0.81204
4990.0 0.00000 0.81221
4995.0 0.00000 0.81239
5000.0 0.00000 0.81266
5005.0 0.00000 0.81258
5010.0 0.00000 0.81268
5015.0 0.00000 0.81278
5020.0 0.00000 0.81279
5025.0 0.00000 0.81264
5030.0 0.00000 0.81249
5035.0 0.00000 0.81225
5040.0 0.00000 0.81227
5045.0 0.00000 0.81276
5050.0 0.00000 0.81342
5055.0 0.00000 0.81384
5060.0 0.00000 0.81434
5065.0 0.00000 0.81484
5070.0 0.00000 0.81551
5075.0 0.00000 0.81600
5080.0 0.00000 0.81668
5085.0 0.00000 0.81725
5090.0 0.00000 0.81783
5095.0 0.00000 0.81842
5100.0 0.00000 0.81892
5105.0 0.00000 0.81950
5110.0 0.00000 0.82017
5115.0 0.00000 0.82058
5120.0 0.00000 0.82091
5125.0 0.00000 0.82124
5130.0 0.00000 0.82165
5135.0 0.00000 0.82224
5140.0 0.00000 0.82257
5145.0 0.00000 0.82290
5150.0 0.00000 0.82323
5155.0 0.00000 0.82356
5160.0 0.00000 0.82389
5165.0 0.00000 0.82430
5170.0 0.00000 0.82454
5175.0 0.00000 0.82487
5180.0 0.00000 0.82521
5185.0 0.00000 0.82529
5190.0 0.00000 0.82553
5195.0 0.00000 0.82577
5200.0 0.00000 0.82619
5205.0 0.00000 0.82626
5210.0 0.00000 0.82659
5215.0 0.00000 0.82691
5220.0 0.00000 0.82716
5225.0 0.00000 0.82732
5230.0 0.00000 0.82739
5235.0 0.00000 0.82747
5240.0 0.00000 0.82745
5245.0 0.00000 0.82744
5250.0 0.00000 0.82735
5255.0 0.00000 0.82734
5260.0 0.00000 0.82741
5265.0 0.00000 0.82748
5270.0 0.00000 0.82755
5275.0 0.00000 0.82778
5280.0 0.00000 0.82776
5285.0 0.00000 0.82784
5290.0 0.00000 0.82790
5295.0 0.00000 0.82805
5300.0 0.00000 0.82820
5305.0 0.00000 0.82835
5310.0 0.00000 0.82851
5315.0 0.00000 0.82857
5320.0 0.00000 0.82881
5325.0 0.00000 0.82904
5330.0 0.00000 0.82936
5335.0 0.00000 0.82967
5340.0 0.00000 0.83000
5345.0 0.00000 0.83040
5350.0 0.00000 0.83089
5355.0 0.00000 0.83129
5360.0 0.00000 0.83169
5365.0 0.00000 0.83201
5370.0 0.00000 0.83242
5375.0 0.00000 0.83273
5380.0 0.00000 0.83297
5385.0 0.00000 0.83303
5390.0 0.00000 0.83326
5395.0 0.00000 0.83333
5400.0 0.00000 0.83347
5405.0 0.00115 0.83362
5410.0 0.00229 0.83352
5415.0 0.00243 0.83359
5420.0 0.00257 0.83364
5425.0 0.00276 0.83387
5430.0 0.00296 0.83410
5435.0 0.00315 0.83407
5440.0 0.00335 0.83431
5445.0 0.00359 0.83453
5450.0 0.00383 0.83467
5455.0 0.00407 0.83473
5460.0 0.00431 0.83488
5465.0 0.00455 0.83510
5470.0 0.00481 0.83559
5475.0 0.00505 0.83572
5480.0 0.00530 0.83603
5485.0 0.00567 0.83635
5490.0 0.00603 0.83658
5495.0 0.00640 0.83689
5500.0 0.00676 0.83720
5505.0 0.00718 0.83743
5510.0 0.00761 0.83774
5515.0 0.00803 0.83788
5520.0 0.00846 0.83819
5525.0 0.00897 0.83824
5530.0 0.00948 0.83838
5535.0 0.01000 0.83852
5540.0 0.01051 0.83866
5545.0 0.01121 0.83888
5550.0 0.01191 0.83902
5555.0 0.01261 0.83916
5560.0 0.01331 0.83930
5565.0 0.01425 0.83926
5570.0 0.01518 0.83932
5575.0 0.01612 0.83928
5580.0 0.01705 0.83933
5585.0 0.01854 0.83929
5590.0 0.02004 0.83934
5595.0 0.02154 0.83931
5600.0 0.02303 0.83927
5605.0 0.02669 0.83906
5610.0 0.03035 0.83902
5615.0 0.03402 0.83898
5620.0 0.03768 0.83895
5625.0 0.05119 0.83873
5630.0 0.06472 0.83878
5635.0 0.07822 0.83866
5640.0 0.09173 0.83854
5645.0 0.13556 0.83858
5650.0 0.17941 0.83872
5655.0 0.22328 0.83884
5660.0 0.26716 0.83898
5665.0 0.33516 0.83911
5670.0 0.40315 0.83915
5675.0 0.47100 0.83895
5680.0 0.53876 0.83866
5685.0 0.57048 0.83829
5690.0 0.60230 0.83808
5695.0 0.63428 0.83813
5700.0 0.66641 0.83834
5705.0 0.67155 0.83872
5710.0 0.67676 0.83919
5715.0 0.68156 0.83915
5720.0 0.68624 0.83895
5725.0 0.68801 0.83916
5730.0 0.68986 0.83946
5735.0 0.69177 0.83985
5740.0 0.69362 0.84015
5745.0 0.69538 0.84028
5750.0 0.69735 0.84067
5755.0 0.69947 0.84123
5760.0 0.70152 0.84171
5765.0 0.70310 0.84210
5770.0 0.70461 0.84241
5775.0 0.70620 0.84280
5780.0 0.70793 0.84336
5785.0 0.70921 0.84384
5790.0 0.71041 0.84424
5795.0 0.71168 0.84471
5800.0 0.71289 0.84511
5805.0 0.71518 0.84550
5810.0 0.71755 0.84598
5815.0 0.71992 0.84646
5820.0 0.72215 0.84677
5825.0 0.72318 0.84716
5830.0 0.72413 0.84746
5835.0 0.72523 0.84795
5840.0 0.72611 0.84817
5845.0 0.72583 0.84839
5850.0 0.72571 0.84878
5855.0 0.72543 0.84900
5860.0 0.72500 0.84905
5865.0 0.72406 0.84901
5870.0 0.72319 0.84906
5875.0 0.72188 0.84860
5880.0 0.72007 0.84754
5885.0 0.71857 0.84554
5890.0 0.71728 0.84380
5895.0 0.71737 0.84367
5900.0 0.71761 0.84372
5905.0 0.72025 0.84495
5910.0 0.72289 0.84618
5915.0 0.72393 0.84554
5920.0 0.72446 0.84430
5925.0 0.72575 0.84476
5930.0 0.72843 0.84684
5935.0 0.73001 0.84764
5940.0 0.72955 0.84606
5945.0 0.72718 0.84354
5950.0 0.72798 0.84468
5955.0 0.72987 0.84710
5960.0 0.73036 0.84789
5965.0 0.73076 0.84793
5970.0 0.73065 0.84736
5975.0 0.73112 0.84748
5980.0 0.73188 0.84794
5985.0 0.73346 0.84865
5990.0 0.73444 0.84868
5995.0 0.73572 0.84906
6000.0 0.73693 0.84935
6005.0 0.73819 0.84973
6010.0 0.73946 0.85011
6015.0 0.74057 0.85032
6020.0 0.74184 0.85070
6025.0 0.74200 0.85100
6030.0 0.74223 0.85139
6035.0 0.74403 0.85169
6040.0 0.74590 0.85208
6045.0 0.74642 0.85247
6050.0 0.74687 0.85277
6055.0 0.74740 0.85316
6060.0 0.74800 0.85364
6065.0 0.74794 0.85403
6070.0 0.74796 0.85451
6075.0 0.74806 0.85508
6080.0 0.74808 0.85557
6085.0 0.74878 0.85605
6090.0 0.74955 0.85662
6095.0 0.75017 0.85701
6100.0 0.75094 0.85758
6105.0 0.75287 0.85815
6110.0 0.75465 0.85855
6115.0 0.75658 0.85912
6120.0 0.75836 0.85951
6125.0 0.76004 0.85999
6130.0 0.76172 0.86048
6135.0 0.76348 0.86105
6140.0 0.76517 0.86153
6145.0 0.76608 0.86201
6150.0 0.76692 0.86240
6155.0 0.76784 0.86288
6160.0 0.76876 0.86337
6165.0 0.76982 0.86385
6170.0 0.77079 0.86424
6175.0 0.77177 0.86464
6180.0 0.77283 0.86512
6185.0 0.77318 0.86551
6190.0 0.77360 0.86599
6195.0 0.77395 0.86638
6200.0 0.77413 0.86660
6205.0 0.77466 0.86699
6210.0 0.77519 0.86739
6215.0 0.77580 0.86787
6220.0 0.77624 0.86817
6225.0 0.77702 0.86857
6230.0 0.77771 0.86887
6235.0 0.77849 0.86926
6240.0 0.77919 0.86957
6245.0 0.77968 0.86987
6250.0 0.78026 0.87026
6255.0 0.78076 0.87057
6260.0 0.78118 0.87079
6265.0 0.78170 0.87083
6270.0 0.78127 0.86983
6275.0 0.77371 0.86090
6280.0 0.76176 0.84709
6285.0 0.76674 0.85174
6290.0 0.77518 0.86024
6295.0 0.77602 0.86028
6300.0 0.77780 0.86136
6305.0 0.78130 0.86497
6310.0 0.78418 0.86790
6315.0 0.78658 0.87030
6320.0 0.78860 0.87227
6325.0 0.79001 0.87380
6330.0 0.79103 0.87489
6335.0 0.79190 0.87581
6340.0 0.79245 0.87638
6345.0 0.79366 0.87677
6350.0 0.79487 0.87716
6355.0 0.79625 0.87774
6360.0 0.79738 0.87804
6365.0 0.79878 0.87861
6370.0 0.79986 0.87883
6375.0 0.80126 0.87940
6380.0 0.80259 0.87988
6385.0 0.80309 0.88037
6390.0 0.80343 0.88067
6395.0 0.80394 0.88116
6400.0 0.80428 0.88146
6405.0 0.80491 0.88186
6410.0 0.80554 0.88225
6415.0 0.80618 0.88265
6420.0 0.80673 0.88295
6425.0 0.80697 0.88325
6430.0 0.80730 0.88365
6435.0 0.80746 0.88387
6440.0 0.80771 0.88417
6445.0 0.80779 0.88439
6450.0 0.80787 0.88461
6455.0 0.80770 0.88456
6460.0 0.80721 0.88415
6465.0 0.80690 0.88348
6470.0 0.80618 0.88237
6475.0 0.80530 0.88107
6480.0 0.80564 0.88111
6485.0 0.80667 0.88203
6490.0 0.80761 0.88287
6495.0 0.80832 0.88344
6500.0 0.81008 0.88516
6505.0 0.81160 0.88680
6510.0 0.81142 0.88657
6515.0 0.80920 0.88411
6520.0 0.80870 0.88353
6525.0 0.81205 0.88632
6530.0 0.81452 0.88814
6535.0 0.81551 0.88835
6540.0 0.81668 0.88875
6545.0 0.81720 0.88825
6550.0 0.81789 0.88793
6555.0 0.81923 0.88832
6560.0 0.82091 0.88907
6565.0 0.82204 0.88991
6570.0 0.82301 0.89057
6575.0 0.82356 0.89078
6580.0 0.82469 0.89162
6585.0 0.82540 0.89228
6590.0 0.82610 0.89295
6595.0 0.82689 0.89370
6600.0 0.82718 0.89391
6605.0 0.82740 0.89430
6610.0 0.82770 0.89479
6615.0 0.82799 0.89527
6620.0 0.82813 0.89558
6625.0 0.82788 0.89588
6630.0 0.82747 0.89600
6635.0 0.82739 0.89649
6640.0 0.82706 0.89670
6645.0 0.82737 0.89701
6650.0 0.82767 0.89731
6655.0 0.82807 0.89771
6660.0 0.82838 0.89801
6665.0 0.82963 0.89832
6670.0 0.83088 0.89862
6675.0 0.83213 0.89892
6680.0 0.83330 0.89914
6685.0 0.83454 0.89953
6690.0 0.83561 0.89975
6695.0 0.83677 0.90005
6700.0 0.83792 0.90036
6705.0 0.83838 0.90057
6710.0 0.83892 0.90087
6715.0 0.83955 0.90127
6720.0 0.84000 0.90148
6725.0 0.84007 0.90179
6730.0 0.84006 0.90200
6735.0 0.84013 0.90231
6740.0 0.84012 0.90252
6745.0 0.84003 0.90292
6750.0 0.83986 0.90322
6755.0 0.83951 0.90334
6760.0 0.83934 0.90365
6765.0 0.83947 0.90386
6770.0 0.83961 0.90407
6775.0 0.83991 0.90447
6780.0 0.84005 0.90468
6785.0 0.84068 0.90489
6790.0 0.84131 0.90511
6795.0 0.84212 0.90551
6800.0 0.84275 0.90572
6805.0 0.84296 0.90575
6810.0 0.84334 0.90596
6815.0 0.84372 0.90617
6820.0 0.84410 0.90639
6825.0 0.84444 0.90660
6830.0 0.84478 0.90681
6835.0 0.84511 0.90703
